day,dayNo,case
Feb24,1,1
Feb25,2,1
Feb26,3,1
Feb27,4,1
Feb28,5,1
Feb29,6,1
Mar01,7,1
Mar02,8,1
Mar03,9,1
Mar04,10,1
Mar05,11,1
Mar06,12,1
Mar07,13,4
Mar08,14,4
Mar09,15,4
Mar10,16,5
Mar11,17,7
Mar12,18,7
Mar13,19,7
Mar14,20,11
Mar15,21,16
Mar16,22,21
Mar17,23,22
Mar18,24,22
Mar19,25,22
Mar20,26,24
Mar21,27,24
Mar22,28,40
Mar23,29,40
Mar24,30,74
Mar25,31,84
Mar26,32,94
Mar27,33,110
Mar28,34,110
Mar29,35,120
Mar30,36,170
Mar31,37,174
Apr01,38,237
Apr02,39,273
Apr03,40,281
Apr04,41,309
Apr05,42,349
Apr06,43,367
Apr07,44,423
Apr08,45,444
Apr09,46,484
Apr10,47,521
Apr11,48,555
Apr12,49,607
Apr13,50,665
Apr14,51,714
Apr15,52,784
Apr16,53,840
Apr17,54,906
Apr18,55,933
Apr19,56,996
Apr20,57,1026
Apr21,58,1092
Apr22,59,1176
Apr23,60,1279
Apr24,61,1351
Apr25,62,1463
Apr26,63,1531
Apr27,64,1703
Apr28,65,1828
Apr29,66,1939
Apr30,67,2171
May01,68,2335
