day,dayNo,case
Mar22,1,1
Mar23,2,1
Mar24,3,1
Mar25,4,2
Mar26,5,4
Mar27,6,4
Mar28,7,4
Mar29,8,4
Mar30,9,4
Mar31,10,4
Apr01,11,4
Apr02,12,6
Apr03,13,6
Apr04,14,7
Apr05,15,7
Apr06,16,11
Apr07,17,14
Apr08,18,14
Apr09,19,15
Apr10,20,15
Apr11,21,18
Apr12,22,18
Apr13,23,21
Apr14,24,23
Apr15,25,25
Apr16,26,30
Apr17,27,30
Apr18,28,30
Apr19,29,33
Apr20,30,36
Apr21,31,36
Apr22,32,40
Apr23,33,42
Apr24,34,43
Apr25,35,47
Apr26,36,50
Apr27,37,57
Apr28,38,58
Apr29,39,60
Apr30,40,64
May01,41,68
May02,42,72
May03,43,85
May04,44,90
May05,45,95
May06,46,104
May07,47,106
May08,48,109
May09,49,115
May10,50,120
May11,51,122
May12,52,127
May13,53,132
May14,54,136
May15,55,153
May16,56,168
May17,57,169
May18,58,173
May19,59,178
May20,60,187
May21,61,193
May22,62,205
May23,63,216
May24,64,218
May25,65,219
May26,66,220
May27,67,227
May28,68,235
May29,69,246
May30,70,249
May31,71,257
Jun01,72,265
Jun02,73,270
Jun03,74,294
Jun04,75,300
Jun05,76,309
Jun06,77,327
Jun07,78,357
Jun08,79,369
Jun09,80,384
Jun10,81,405
Jun11,82,426
Jun12,83,446
Jun13,84,451
Jun14,85,471
Jun15,86,478
Jun16,87,491
Jun17,88,504
Jun18,89,546
Jun19,90,548
Jun20,91,569
Jun21,92,581
Jun22,93,598
Jun23,94,618
Jun24,95,639
Jun25,96,675
Jun26,97,683
Jun27,98,703
Jun28,99,721
Jun29,100,733
Jun30,101,746
Jul01,102,774
Jul02,103,807
Jul03,104,819
Jul04,105,826
