day,dayNo,case
Mar08,1,2
Mar09,2,6
Mar10,3,10
Mar11,4,15
Mar12,5,23
Mar13,6,33
Mar14,7,38
Mar15,8,42
Mar16,9,51
Mar17,10,55
Mar18,11,59
Mar19,12,64
Mar20,13,70
Mar21,14,76
Mar22,15,89
Mar23,16,104
Mar24,17,123
Mar25,18,146
Mar26,19,174
Mar27,20,186
Mar28,21,197
Mar29,22,212
Mar30,23,223
Mar31,24,243
Apr01,25,259
Apr02,26,277
Apr03,27,304
Apr04,28,333
Apr05,29,361
Apr06,30,377
Apr07,31,383
Apr08,32,400
Apr09,33,409
Apr10,34,416
Apr11,35,433
Apr12,36,446
Apr13,37,467
Apr14,38,475
Apr15,39,494
Apr16,40,518
Apr17,41,539
Apr18,42,548
Apr19,43,562
Apr20,44,584
Apr21,45,609
Apr22,46,634
Apr23,47,663
Apr24,48,678
Apr25,49,712
Apr26,50,726
Apr27,51,736
Apr28,52,750
Apr29,53,766
Apr30,54,773
May01,55,782
