day,dayNo,case
Mar11,1,1
Mar12,2,1
Mar13,3,1
Mar14,4,1
Mar15,5,1
Mar16,6,1
Mar17,7,1
Mar18,8,2
Mar19,9,2
Mar20,10,2
Mar21,11,2
Mar22,12,2
Mar23,13,4
Mar24,14,5
Mar25,15,5
Mar26,16,6
Mar27,17,8
Mar28,18,10
Mar29,19,10
Mar30,20,11
Mar31,21,15
Apr01,22,15
Apr02,23,16
Apr03,24,17
Apr04,25,20
Apr05,26,20
Apr06,27,21
Apr07,28,22
Apr08,29,22
Apr09,30,23
Apr10,31,23
Apr11,32,23
Apr12,33,23
Apr13,34,23
Apr14,35,24
Apr15,36,25
Apr16,37,26
Apr17,38,26
Apr18,39,26
Apr19,40,26
Apr20,41,26
Apr21,42,26
Apr22,43,27
Apr23,44,27
Apr24,45,27
Apr25,46,27
Apr26,47,28
Apr27,48,28
Apr28,49,30
Apr29,50,30
Apr30,51,31
May01,52,31
May02,53,31
May03,54,31
May04,55,31
May05,56,31
May06,57,31
May07,58,31
May08,59,31
May09,60,31
May10,61,31
May11,62,31
May12,63,31
May13,64,31
May14,65,31
May15,66,31
May16,67,31
May17,68,31
May18,69,31
May19,70,31
May20,71,31
May21,72,31
May22,73,31
May23,74,31
May24,75,32
May25,76,32
May26,77,33
May27,78,33
May28,79,33
May29,80,33
May30,81,33
May31,82,33
Jun01,83,33
Jun02,84,33
Jun03,85,33
Jun04,86,33
Jun05,87,33
Jun06,88,34
Jun07,89,34
Jun08,90,34
Jun09,91,34
Jun10,92,34
Jun11,93,35
Jun12,94,36
Jun13,95,36
Jun14,96,36
Jun15,97,36
Jun16,98,37
Jun17,99,38
Jun18,100,39
Jun19,101,42
Jun20,102,43
Jun21,103,44
Jun22,104,44
Jun23,105,45
Jun24,106,47
Jun25,107,49
Jun26,108,51
Jun27,109,53
Jun28,110,55
Jun29,111,58
Jun30,112,62
Jul01,113,65
Jul02,114,69
Jul03,115,72
Jul04,116,74
