day,dayNo,case
Feb25,1,1
Feb26,2,1
Feb27,3,1
Feb28,4,1
Feb29,5,1
Mar01,6,3
Mar02,7,5
Mar03,8,8
Mar04,9,17
Mar05,10,17
Mar06,11,17
Mar07,12,19
Mar08,13,20
Mar09,14,20
Mar10,15,20
Mar11,16,20
Mar12,17,26
Mar13,18,26
Mar14,19,39
Mar15,20,54
Mar16,21,60
Mar17,22,61
Mar18,23,75
Mar19,24,90
Mar20,25,94
Mar21,26,139
Mar22,27,201
Mar23,28,230
Mar24,29,264
Mar25,30,302
Mar26,31,367
Mar27,32,409
Mar28,33,454
Mar29,34,511
Mar30,35,584
Mar31,36,716
Apr01,37,847
Apr02,38,986
Apr03,39,1171
Apr04,40,1251
Apr05,41,1320
Apr06,42,1423
Apr07,43,1468
Apr08,44,1572
Apr09,45,1666
Apr10,46,1761
Apr11,47,1825
Apr12,48,1914
Apr13,49,1983
Apr14,50,2070
Apr15,51,2160
Apr16,52,2268
Apr17,53,2418
Apr18,54,2534
Apr19,55,2629
Apr20,56,2718
Apr21,57,2811
Apr22,58,2910
Apr23,59,3007
Apr24,60,3127
Apr25,61,3256
Apr26,62,3382
Apr27,63,3517
Apr28,64,3649
Apr29,65,3848
Apr30,66,4006
May01,67,4154
May02,68,4295
May03,69,4474
May04,70,4648
May05,71,4838
May06,72,4997
May07,73,5182
May08,74,5369
May09,75,5558
May10,76,5723
May11,77,5891
May12,78,6067
May13,79,6253
May14,80,6442
May15,81,6629
May16,82,6821
May17,83,7019
May18,84,7201
May19,85,7377
May20,86,7542
May21,87,7728
May22,88,7918
May23,89,8113
May24,90,8306
May25,91,8503
May26,92,8697
May27,93,8857
May28,94,8997
May29,95,9134
May30,96,9267
May31,97,9394
Jun01,98,9513
Jun02,99,9626
Jun03,100,9733
Jun04,101,9831
Jun05,102,9935
Jun06,103,10050
Jun07,104,10154
Jun08,105,10265
Jun09,106,10382
Jun10,107,10484
Jun11,108,10589
Jun12,109,10698
Jun13,110,10810
Jun14,111,10919
Jun15,112,11031
Jun16,113,11147
Jun17,114,11268
Jun18,115,11385
Jun19,116,11504
Jun20,117,11631
Jun21,118,11771
Jun22,119,11920
Jun23,120,12076
Jun24,121,12248
Jun25,122,12445
Jun26,123,12685
Jun27,124,12968
Jun28,125,13273
Jun29,126,13571
Jun30,127,13907
Jul01,128,14272
Jul02,129,14657
Jul03,130,15070
Jul04,131,15500
