day,dayNo,case
Mar12,1,2
Mar13,2,2
Mar14,3,3
Mar15,4,4
Mar16,5,4
Mar17,6,5
Mar18,7,7
Mar19,8,9
Mar20,9,11
Mar21,10,15
Mar22,11,17
Mar23,12,17
Mar24,13,19
Mar25,14,21
Mar26,15,25
Mar27,16,26
Mar28,17,29
Mar29,18,31
Mar30,19,35
Mar31,20,44
Apr01,21,58
Apr02,22,86
Apr03,23,105
Apr04,24,130
Apr05,25,152
Apr06,26,173
Apr07,27,193
Apr08,28,205
Apr09,29,235
Apr10,30,256
Apr11,31,275
Apr12,32,293
Apr13,33,313
Apr14,34,326
Apr15,35,336
Apr16,36,348
Apr17,37,364
Apr18,38,367
Apr19,39,375
Apr20,40,384
Apr21,41,392
Apr22,42,402
Apr23,43,407
Apr24,44,415
Apr25,45,419
Apr26,46,425
Apr27,47,432
Apr28,48,437
Apr29,49,444
Apr30,50,450
May01,51,453
