day,dayNo,case
Mar02,1,1
Mar03,2,1
Mar04,3,1
Mar05,4,1
Mar06,5,1
Mar07,6,1
Mar08,7,1
Mar09,8,1
Mar10,9,1
Mar11,10,1
Mar12,11,1
Mar13,12,1
Mar14,13,1
Mar15,14,5
Mar16,15,14
Mar17,16,39
Mar18,17,53
Mar19,18,74
Mar20,19,75
Mar21,20,88
Mar22,21,113
Mar23,22,133
Mar24,23,164
Mar25,24,188
Mar26,25,224
Mar27,26,267
Mar28,27,308
Mar29,28,334
Mar30,29,370
Mar31,30,376
Apr01,31,390
Apr02,32,428
Apr03,33,439
Apr04,34,466
Apr05,35,501
Apr06,36,525
Apr07,37,545
Apr08,38,564
Apr09,39,583
Apr10,40,601
Apr11,41,601
Apr12,42,638
Apr13,43,646
Apr14,44,659
Apr15,45,673
Apr16,46,673
Apr17,47,696
Apr18,48,704
Apr19,49,713
Apr20,50,717
Apr21,51,717
Apr22,52,723
Apr23,53,723
Apr24,54,731
Apr25,55,738
Apr26,56,738
Apr27,57,743
Apr28,58,743
Apr29,59,743
Apr30,60,745
May01,61,745
