day,dayNo,case
Mar03,1,1
Mar04,2,1
Mar05,3,2
Mar06,4,8
Mar07,5,9
Mar08,6,12
Mar09,7,17
Mar10,8,19
Mar11,9,21
Mar12,10,31
Mar13,11,34
Mar14,12,45
Mar15,13,56
Mar16,14,65
Mar17,15,79
Mar18,16,97
Mar19,17,128
Mar20,18,158
Mar21,19,158
Mar22,20,266
Mar23,21,301
Mar24,22,387
Mar25,23,502
Mar26,24,589
Mar27,25,589
Mar28,26,745
Mar29,27,820
Mar30,28,820
Mar31,29,1054
Apr01,30,1133
Apr02,31,1265
Apr03,32,1353
Apr04,33,1451
Apr05,34,1554
Apr06,35,1628
Apr07,36,1715
Apr08,37,1795
Apr09,38,1894
Apr10,39,1975
Apr11,40,2142
Apr12,41,2142
Apr13,42,2277
Apr14,43,2277
Apr15,44,2571
Apr16,45,2669
Apr17,46,2669
Apr18,47,2839
Apr19,48,2941
Apr20,49,3031
Apr21,50,3144
Apr22,51,3288
Apr23,52,3435
Apr24,53,3607
Apr25,54,3780
Apr26,55,3892
Apr27,56,4003
Apr28,57,4127
Apr29,58,4285
Apr30,59,4428
May01,60,4532
May02,61,4681
May03,62,4783
May04,63,4887
May05,64,5020
May06,65,5208
May07,66,5371
May08,67,5611
May09,68,5776
May10,69,6034
May11,70,6278
May12,71,6563
May13,72,6879
May14,73,7134
May15,74,7479
May16,75,7805
May17,76,8068
May18,77,8371
May19,78,8809
May20,79,9283
May21,80,9931
May22,81,10649
May23,82,11353
May24,83,12076
May25,84,12628
May26,85,13228
May27,86,13933
May28,87,14702
May29,88,15419
May30,89,16214
May31,90,16851
Jun01,91,17415
Jun02,92,18319
Jun03,93,19268
Jun04,94,20197
Jun05,95,21037
Jun06,96,22020
Jun07,97,22794
Jun08,98,23620
Jun09,99,24761
Jun10,100,25987
Jun11,101,27373
Jun12,102,28764
Jun13,103,30295
Jun14,104,31577
Jun15,105,32785
Jun16,106,34159
Jun17,107,35552
Jun18,108,37510
Jun19,109,39570
Jun20,110,41204
Jun21,111,42785
Jun22,112,44931
Jun23,113,47203
Jun24,114,49851
Jun25,115,52457
Jun26,116,55343
Jun27,117,57744
Jun28,118,59933
Jun29,119,62268
Jun30,120,64530
Jul01,121,67197
Jul02,122,69941
Jul03,123,72786
Jul04,124,75376
