day,dayNo,case
Mar07,1,1
Mar08,2,1
Mar09,3,1
Mar10,4,1
Mar11,5,1
Mar12,6,1
Mar13,7,2
Mar14,8,2
Mar15,9,2
Mar16,10,2
Mar17,11,2
Mar18,12,2
Mar19,13,3
Mar20,14,3
Mar21,15,4
Mar22,16,4
Mar23,17,4
Mar24,18,6
Mar25,19,8
Mar26,20,12
Mar27,21,13
Mar28,22,19
Mar29,23,20
Mar30,24,23
Mar31,25,27
Apr01,26,32
Apr02,27,36
Apr03,28,42
Apr04,29,43
Apr05,30,46
Apr06,31,53
Apr07,32,60
Apr08,33,65
Apr09,34,79
Apr10,35,82
Apr11,36,89
Apr12,37,90
Apr13,38,98
Apr14,39,102
Apr15,40,112
Apr16,41,122
Apr17,42,123
Apr18,43,132
Apr19,44,134
Apr20,45,142
Apr21,46,151
Apr22,47,159
Apr23,48,165
Apr24,49,176
Apr25,50,185
Apr26,51,192
Apr27,52,197
Apr28,53,207
Apr29,54,214
Apr30,55,218
May01,56,225
