day,dayNo,case
Mar01,1,1
Mar02,2,1
Mar03,3,1
Mar04,4,1
Mar05,5,1
Mar06,6,1
Mar07,7,1
Mar08,8,1
Mar09,9,1
Mar10,10,1
Mar11,11,1
Mar12,12,6
Mar13,13,8
Mar14,14,20
Mar15,15,28
Mar16,16,52
Mar17,17,78
Mar18,18,110
Mar19,19,122
Mar20,20,136
Mar21,21,160
Mar22,22,194
Mar23,23,235
Mar24,24,249
Mar25,25,265
Mar26,26,290
Mar27,27,329
Mar28,28,407
Mar29,29,424
Mar30,30,482
Mar31,31,532
Apr01,32,571
Apr02,33,663
Apr03,34,736
Apr04,35,770
Apr05,36,822
Apr06,37,833
Apr07,38,853
Apr08,39,881
Apr09,40,921
Apr10,41,937
Apr11,42,967
Apr12,43,1013
Apr13,44,1039
Apr14,45,1067
Apr15,46,1111
Apr16,47,1159
Apr17,48,1201
Apr18,49,1248
Apr19,50,1291
Apr20,51,1339
Apr21,52,1401
Apr22,53,1473
Apr23,54,1523
Apr24,55,1596
Apr25,56,1677
Apr26,57,1746
Apr27,58,1808
Apr28,59,1867
Apr29,60,1932
Apr30,61,2066
May01,62,2148
May02,63,2273
May03,64,2386
May04,65,2507
May05,66,2619
May06,67,2782
May07,68,2884
May08,69,3029
May09,70,3175
May10,71,3313
May11,72,3392
May12,73,3538
May13,74,3718
May14,75,3860
May15,76,4044
May16,77,4283
May17,78,4472
May18,79,4823
May19,80,5041
May20,81,5271
May21,82,5606
May22,83,5928
May23,84,6302
May24,85,6661
May25,86,7113
May26,87,7402
May27,88,7774
May28,89,8216
May29,90,8676
May30,91,8927
May31,92,9282
Jun01,93,9492
Jun02,94,10009
Jun03,95,10524
Jun04,96,11221
Jun05,97,11817
Jun06,98,12364
Jun07,99,13130
Jun08,100,13325
Jun09,101,13675
Jun10,102,14103
Jun11,103,14669
Jun12,104,15281
Jun13,105,16004
Jun14,106,16667
Jun15,107,17064
Jun16,108,17489
Jun17,109,18033
Jun18,110,18698
Jun19,111,19157
Jun20,112,19708
Jun21,113,20268
Jun22,114,20588
Jun23,115,21006
Jun24,116,21717
Jun25,117,22488
Jun26,118,23247
Jun27,119,23909
Jun28,120,24645
Jun29,121,25127
Jun30,122,25542
Jul01,123,26065
Jul02,124,26658
Jul03,125,27320
Jul04,126,27900
