day,dayNo,case
Mar26,1,1
Mar27,2,1
Mar28,3,1
Mar29,4,3
Mar30,5,3
Mar31,6,3
Apr01,7,4
Apr02,8,7
Apr03,9,7
Apr04,10,7
Apr05,11,7
Apr06,12,8
Apr07,13,8
Apr08,14,9
Apr09,15,10
Apr10,16,12
Apr11,17,13
Apr12,18,13
Apr13,19,14
Apr14,20,16
Apr15,21,17
Apr16,22,18
Apr17,23,19
Apr18,24,20
Apr19,25,20
Apr20,26,22
Apr21,27,24
Apr22,28,24
Apr23,29,24
Apr24,30,27
Apr25,31,28
Apr26,32,28
Apr27,33,29
Apr28,34,30
Apr29,35,30
Apr30,36,32
May01,37,33
May02,38,33
May03,39,35
May04,40,39
May05,41,40
May06,42,40
May07,43,42
May08,44,43
May09,45,44
May10,46,45
May11,47,46
May12,48,47
May13,49,48
May14,50,49
May15,51,52
May16,52,55
May17,53,60
May18,54,61
May19,55,64
May20,56,67
May21,57,70
May22,58,74
May23,59,77
May24,60,81
May25,61,87
May26,62,91
May27,63,98
May28,64,113
May29,65,120
May30,66,127
May31,67,131
Jun01,68,139
Jun02,69,158
Jun03,70,170
Jun04,71,176
Jun05,72,183
Jun06,73,190
Jun07,74,200
Jun08,75,211
Jun09,76,217
Jun10,77,227
Jun11,78,245
Jun12,79,258
Jun13,80,264
Jun14,81,269
Jun15,82,285
Jun16,83,293
Jun17,84,302
Jun18,85,309
Jun19,86,319
Jun20,87,332
Jun21,88,350
Jun22,89,360
Jun23,90,372
Jun24,91,386
Jun25,92,397
Jun26,93,410
Jun27,94,421
Jun28,95,426
Jun29,96,433
Jun30,97,443
Jul01,98,453
Jul02,99,459
Jul03,100,469
Jul04,101,477
