day,dayNo,case
Feb15,1,15
Feb16,2,15
Feb17,3,15
Feb18,4,15
Feb19,5,15
Feb20,6,17
Feb21,7,19
Feb22,8,21
Feb23,9,22
Feb24,10,22
Feb25,11,22
Feb26,12,23
Feb27,13,23
Feb28,14,25
Feb29,15,25
Mar01,16,29
Mar02,17,33
Mar03,18,39
Mar04,19,53
Mar05,20,60
Mar06,21,63
Mar07,22,74
Mar08,23,83
Mar09,24,93
Mar10,25,116
Mar11,26,128
Mar12,27,156
Mar13,28,199
Mar14,29,248
Mar15,30,300
Mar16,31,401
Mar17,32,455
Mar18,33,596
Mar19,34,756
Mar20,35,928
Mar21,36,1072
Mar22,37,1609
Mar23,38,1887
Mar24,39,2317
Mar25,40,2676
Mar26,41,3050
Mar27,42,3378
Mar28,43,3635
Mar29,44,4163
Mar30,45,4460
Mar31,46,4763
Apr01,47,5048
Apr02,48,5314
Apr03,49,5454
Apr04,50,5550
Apr05,51,5750
Apr06,52,5895
Apr07,53,5988
Apr08,54,6052
Apr09,55,6152
Apr10,56,6238
Apr11,57,6303
Apr12,58,6313
Apr13,59,6359
Apr14,60,6400
Apr15,61,6447
Apr16,62,6468
Apr17,63,6533
Apr18,64,6586
Apr19,65,6612
Apr20,66,6625
Apr21,67,6645
Apr22,68,6649
Apr23,69,6667
Apr24,70,6675
Apr25,71,6695
Apr26,72,6716
Apr27,73,6720
Apr28,74,6738
Apr29,75,6746
Apr30,76,6754
May01,77,6767
May02,78,6781
May03,79,6801
May04,80,6825
May05,81,6849
May06,82,6875
May07,83,6896
May08,84,6914
May09,85,6929
May10,86,6941
May11,87,6948
May12,88,6964
May13,89,6980
May14,90,6989
May15,91,7019
May16,92,7036
May17,93,7045
May18,94,7060
May19,95,7068
May20,96,7079
May21,97,7081
May22,98,7095
May23,99,7111
May24,100,7114
May25,101,7118
May26,102,7133
May27,103,7139
May28,104,7150
May29,105,7173
May30,106,7185
May31,107,7195
Jun01,108,7204
Jun02,109,7221
Jun03,110,7229
Jun04,111,7240
Jun05,112,7251
Jun06,113,7255
Jun07,114,7260
Jun08,115,7265
Jun09,116,7267
Jun10,117,7276
Jun11,118,7285
Jun12,119,7290
Jun13,120,7302
Jun14,121,7320
Jun15,122,7335
Jun16,123,7347
Jun17,124,7370
Jun18,125,7391
Jun19,126,7409
Jun20,127,7436
Jun21,128,7461
Jun22,129,7474
Jun23,130,7492
Jun24,131,7521
Jun25,132,7558
Jun26,133,7595
Jun27,134,7641
Jun28,135,7686
Jun29,136,7767
Jun30,137,7836
Jul01,138,7920
Jul02,139,8001
Jul03,140,8255
Jul04,141,8362
