day,dayNo,case
Mar01,1,1
Mar02,2,1
Mar03,3,1
Mar04,4,2
Mar05,5,2
Mar06,6,2
Mar07,7,3
Mar08,8,3
Mar09,9,3
Mar10,10,3
Mar11,11,3
Mar12,12,3
Mar13,13,3
Mar14,14,3
Mar15,15,5
Mar16,16,5
Mar17,17,5
Mar18,18,6
Mar19,19,7
Mar20,20,7
Mar21,21,7
Mar22,22,7
Mar23,23,7
Mar24,24,8
Mar25,25,11
Mar26,26,13
Mar27,27,13
Mar28,28,14
Mar29,29,17
Mar30,30,19
Mar31,31,20
Apr01,32,23
Apr02,33,25
Apr03,34,28
Apr04,35,30
Apr05,36,37
Apr06,37,45
Apr07,38,49
Apr08,39,50
Apr09,40,51
Apr10,41,54
Apr11,42,56
Apr12,43,59
Apr13,44,61
Apr14,45,61
Apr15,46,63
Apr16,47,63
Apr17,48,65
Apr18,49,70
Apr19,50,71
Apr20,51,71
Apr21,52,71
Apr22,53,74
Apr23,54,75
Apr24,55,79
Apr25,56,80
Apr26,57,83
Apr27,58,83
Apr28,59,88
Apr29,60,89
Apr30,61,92
May01,62,93
