day,dayNo,case
Feb25,1,2
Feb26,2,2
Feb27,3,5
Feb28,4,7
Feb29,5,10
Mar01,6,14
Mar02,7,18
Mar03,8,24
Mar04,9,29
Mar05,10,43
Mar06,11,66
Mar07,12,81
Mar08,13,104
Mar09,14,131
Mar10,15,182
Mar11,16,246
Mar12,17,361
Mar13,18,504
Mar14,19,655
Mar15,20,860
Mar16,21,1018
Mar17,22,1332
Mar18,23,1646
Mar19,24,2179
Mar20,25,2649
Mar21,26,2992
Mar22,27,3582
Mar23,28,4474
Mar24,29,5283
Mar25,30,5588
Mar26,31,6909
Mar27,32,7697
Mar28,33,8271
Mar29,34,8788
Mar30,35,9618
Mar31,36,10180
Apr01,37,10711
Apr02,38,11129
Apr03,39,11524
Apr04,40,11781
Apr05,41,12051
Apr06,42,12297
Apr07,43,12639
Apr08,44,12942
Apr09,45,13244
Apr10,46,13560
Apr11,47,13806
Apr12,48,13945
Apr13,49,14041
Apr14,50,14226
Apr15,51,14350
Apr16,52,14476
Apr17,53,14595
Apr18,54,14671
Apr19,55,14749
Apr20,56,14795
Apr21,57,14873
Apr22,58,14925
Apr23,59,15002
Apr24,60,15071
Apr25,61,15148
Apr26,62,15225
Apr27,63,15274
Apr28,64,15357
Apr29,65,15402
Apr30,66,15452
May01,67,15531
