day,dayNo,case
Mar12,1,1
Mar13,2,1
Mar14,3,1
Mar15,4,1
Mar16,5,3
Mar17,6,4
Mar18,7,4
Mar19,8,6
Mar20,9,6
Mar21,10,8
Mar22,11,16
Mar23,12,21
Mar24,13,28
Mar25,14,31
Mar26,15,49
Mar27,16,58
Mar28,17,68
Mar29,18,86
Mar30,19,108
Mar31,20,128
Apr01,21,146
Apr02,22,158
Apr03,23,168
Apr04,24,186
Apr05,25,204
Apr06,26,220
Apr07,27,243
Apr08,28,273
Apr09,29,295
Apr10,30,319
Apr11,31,337
Apr12,32,350
Apr13,33,368
Apr14,34,384
Apr15,35,393
Apr16,36,410
Apr17,37,431
Apr18,38,443
Apr19,39,452
Apr20,40,470
Apr21,41,491
Apr22,42,510
Apr23,43,522
Apr24,44,530
Apr25,45,536
Apr26,46,542
Apr27,47,549
Apr28,48,569
Apr29,49,580
Apr30,50,584
May01,51,589
May02,52,596
May03,53,598
May04,54,600
May05,55,606
May06,56,608
May07,57,609
May08,58,614
May09,59,615
May10,60,618
May11,61,620
May12,62,623
May13,63,624
May14,64,626
May15,65,628
May16,66,629
May17,67,629
May18,68,629
May19,69,632
May20,70,633
May21,71,633
May22,72,635
May23,73,639
May24,74,640
May25,75,641
May26,76,643
May27,77,645
May28,78,668
May29,79,668
May30,80,668
May31,81,668
Jun01,82,668
Jun02,83,669
Jun03,84,670
Jun04,85,670
Jun05,86,672
Jun06,87,672
Jun07,88,672
Jun08,89,672
Jun09,90,672
Jun10,91,673
Jun11,92,674
Jun12,93,675
Jun13,94,677
Jun14,95,677
Jun15,96,678
Jun16,97,681
Jun17,98,687
Jun18,99,688
Jun19,100,688
Jun20,101,688
Jun21,102,690
Jun22,103,690
Jun23,104,693
Jun24,105,693
Jun25,106,698
Jun26,107,698
Jun27,108,700
Jun28,109,702
Jun29,110,703
Jun30,111,705
Jul01,112,705
Jul02,113,705
Jul03,114,705
Jul04,115,705
