day,dayNo,case
Feb28,1,1
Feb29,2,3
Mar01,3,3
Mar02,4,3
Mar03,5,3
Mar04,6,3
Mar05,7,6
Mar06,8,9
Mar07,9,9
Mar08,10,9
Mar09,11,9
Mar10,12,11
Mar11,13,11
Mar12,14,15
Mar13,15,15
Mar14,16,19
Mar15,17,23
Mar16,18,25
Mar17,19,34
Mar18,20,34
Mar19,21,44
Mar20,22,44
Mar21,23,53
Mar22,24,65
Mar23,25,72
Mar24,26,87
Mar25,27,93
Mar26,28,122
Mar27,29,165
Mar28,30,182
Mar29,31,209
Mar30,32,273
Mar31,33,298
Apr01,34,359
Apr02,35,400
Apr03,36,443
Apr04,37,521
Apr05,38,584
Apr06,39,641
Apr07,40,717
Apr08,41,822
Apr09,42,926
Apr10,43,991
Apr11,44,1058
Apr12,45,1098
Apr13,46,1148
Apr14,47,1197
Apr15,48,1253
Apr16,49,1283
Apr17,50,1340
Apr18,51,1373
Apr19,52,1398
Apr20,53,1436
Apr21,54,1480
Apr22,55,1518
Apr23,56,1548
Apr24,57,1592
Apr25,58,1617
Apr26,59,1645
Apr27,60,1678
Apr28,61,1717
Apr29,62,1766
Apr30,63,1804
May01,64,1854
May02,65,1894
May03,66,1932
May04,67,1984
May05,68,2060
May06,69,2127
May07,70,2204
May08,71,2279
May09,72,2422
May10,73,2519
May11,74,2589
May12,75,2693
May13,76,2758
May14,77,2879
May15,78,2980
May16,79,3138
May17,80,3274
May18,81,3387
May19,82,3518
May20,83,3631
May21,84,3749
May22,85,3855
May23,86,3982
May24,87,4122
May25,88,4271
May26,89,4403
May27,90,4568
May28,91,4759
May29,92,4989
May30,93,5246
May31,94,5494
Jun01,95,5662
Jun02,96,5935
Jun03,97,6260
Jun04,98,6522
Jun05,99,6860
Jun06,100,7239
Jun07,101,7553
Jun08,102,7876
Jun09,103,8191
Jun10,104,8530
Jun11,105,8882
Jun12,106,9218
Jun13,107,9570
Jun14,108,9957
Jun15,109,10324
Jun16,110,10662
Jun17,111,10991
Jun18,112,11329
Jun19,113,11767
Jun20,114,12238
Jun21,115,12729
Jun22,116,13207
Jun23,117,13715
Jun24,118,14305
Jun25,119,14852
Jun26,120,15369
Jun27,121,15890
Jun28,122,16424
Jun29,123,16968
Jun30,124,17524
Jul01,125,18112
Jul02,126,18684
Jul03,127,19267
Jul04,128,19801
