day,dayNo,case
Mar12,1,1
Mar13,2,1
Mar14,3,1
Mar15,4,1
Mar16,5,1
Mar17,6,1
Mar18,7,1
Mar19,8,1
Mar20,9,1
Mar21,10,1
Mar22,11,1
Mar23,12,1
Mar24,13,1
Mar25,14,2
Mar26,15,3
Mar27,16,3
Mar28,17,4
Mar29,18,4
Mar30,19,4
Mar31,20,5
Apr01,21,5
Apr02,22,5
Apr03,23,5
Apr04,24,5
Apr05,25,7
Apr06,26,7
Apr07,27,8
Apr08,28,8
Apr09,29,9
Apr10,30,10
Apr11,31,11
Apr12,32,11
Apr13,33,12
Apr14,34,13
Apr15,35,13
Apr16,36,15
Apr17,37,15
Apr18,38,18
Apr19,39,19
Apr20,40,19
Apr21,41,20
Apr22,42,20
Apr23,43,20
Apr24,44,21
Apr25,45,21
Apr26,46,21
Apr27,47,22
Apr28,48,22
Apr29,49,23
Apr30,50,24
May01,51,25
May02,52,25
May03,53,25
May04,54,26
May05,55,26
May06,56,28
May07,57,28
May08,58,28
May09,59,31
May10,60,32
May11,61,32
May12,62,33
May13,63,35
May14,64,35
May15,65,36
May16,66,36
May17,67,39
May18,68,40
May19,69,41
May20,70,43
May21,71,44
May22,72,46
May23,73,49
May24,74,49
May25,75,51
May26,76,52
May27,77,54
May28,78,56
May29,79,58
May30,80,61
May31,81,63
Jun01,82,68
Jun02,83,71
Jun03,84,76
Jun04,85,78
Jun05,86,82
Jun06,87,84
Jun07,88,88
Jun08,89,93
Jun09,90,98
Jun10,91,102
Jun11,92,108
Jun12,93,113
Jun13,94,115
Jun14,95,119
Jun15,96,122
Jun16,97,126
Jun17,98,133
Jun18,99,139
Jun19,100,143
Jun20,101,148
Jun21,102,154
Jun22,103,161
Jun23,104,167
Jun24,105,174
Jun25,106,180
Jun26,107,187
Jun27,108,193
Jun28,109,198
Jun29,110,206
Jun30,111,213
Jul01,112,220
Jul02,113,228
Jul03,114,235
Jul04,115,241
