day,dayNo,case
Feb24,1,2
Feb25,2,23
Feb26,3,33
Feb27,4,33
Feb28,5,38
Feb29,6,41
Mar01,7,47
Mar02,8,49
Mar03,9,49
Mar04,10,52
Mar05,11,55
Mar06,12,60
Mar07,13,85
Mar08,14,85
Mar09,15,109
Mar10,16,110
Mar11,17,195
Mar12,18,197
Mar13,19,210
Mar14,20,212
Mar15,21,214
Mar16,22,228
Mar17,23,241
Mar18,24,256
Mar19,25,279
Mar20,26,298
Mar21,27,310
Mar22,28,334
Mar23,29,377
Mar24,30,392
Mar25,31,419
Mar26,32,458
Mar27,33,466
Mar28,34,476
Mar29,35,499
Mar30,36,515
Mar31,37,567
Apr01,38,569
Apr02,39,643
Apr03,40,672
Apr04,41,688
Apr05,42,700
Apr06,43,756
Apr07,44,811
Apr08,45,823
Apr09,46,887
Apr10,47,925
Apr11,48,1040
Apr12,49,1136
Apr13,50,1361
Apr14,51,1528
Apr15,52,1671
Apr16,53,1700
Apr17,54,1740
Apr18,55,1773
Apr19,56,1881
Apr20,57,1907
Apr21,58,1973
Apr22,59,2027
Apr23,60,2217
Apr24,61,2518
Apr25,62,2588
Apr26,63,2647
Apr27,64,2723
Apr28,65,2811
Apr29,66,2921
Apr30,67,3040
May01,68,3170
