day,dayNo,case
Mar16,1,1
Mar17,2,1
Mar18,3,1
Mar19,4,1
Mar20,5,1
Mar21,6,1
Mar22,7,2
Mar23,8,2
Mar24,9,3
Mar25,10,4
Mar26,11,4
Mar27,12,4
Mar28,13,4
Mar29,14,4
Mar30,15,4
Mar31,16,4
Apr01,17,4
Apr02,18,4
Apr03,19,4
Apr04,20,4
Apr05,21,4
Apr06,22,4
Apr07,23,5
Apr08,24,5
Apr09,25,5
Apr10,26,6
Apr11,27,6
Apr12,28,6
Apr13,29,6
Apr14,30,7
Apr15,31,7
Apr16,32,7
Apr17,33,7
Apr18,34,7
Apr19,35,7
Apr20,36,7
Apr21,37,7
Apr22,38,7
Apr23,39,8
Apr24,40,8
Apr25,41,8
Apr26,42,8
Apr27,43,8
Apr28,44,8
Apr29,45,8
Apr30,46,8
May01,47,8
