day,dayNo,case
Mar08,1,3
Mar09,2,3
Mar10,3,3
Mar11,4,3
Mar12,5,3
Mar13,6,3
Mar14,7,5
Mar15,8,5
Mar16,9,8
Mar17,10,10
Mar18,11,14
Mar19,12,18
Mar20,13,20
Mar21,14,24
Mar22,15,27
Mar23,16,33
Mar24,17,39
Mar25,18,39
Mar26,19,44
Mar27,20,48
Mar28,21,48
Mar29,22,48
Mar30,23,49
Mar31,24,51
Apr01,25,54
Apr02,26,56
Apr03,27,61
Apr04,28,70
Apr05,29,88
Apr06,30,123
Apr07,31,164
Apr08,32,218
Apr09,33,330
Apr10,34,424
Apr11,35,482
Apr12,36,621
Apr13,37,803
Apr14,38,1012
Apr15,39,1231
Apr16,40,1572
Apr17,41,1838
Apr18,42,2144
Apr19,43,2456
Apr20,44,2948
Apr21,45,3382
Apr22,46,3772
Apr23,47,4186
Apr24,48,4689
Apr25,49,4998
Apr26,50,5416
Apr27,51,5913
Apr28,52,6462
Apr29,53,7103
Apr30,54,7667
May01,55,8238
