day,dayNo,case
Mar18,1,1
Mar19,2,1
Mar20,3,1
Mar21,4,2
Mar22,5,2
Mar23,6,3
Mar24,7,4
Mar25,8,5
Mar26,9,5
Mar27,10,5
Mar28,11,5
Mar29,12,5
Mar30,13,5
Mar31,14,5
Apr01,15,6
Apr02,16,6
Apr03,17,6
Apr04,18,8
Apr05,19,9
Apr06,20,12
Apr07,21,17
Apr08,22,20
Apr09,23,21
Apr10,24,27
Apr11,25,30
Apr12,26,34
Apr13,27,39
Apr14,28,46
Apr15,29,50
Apr16,30,60
Apr17,31,75
Apr18,32,84
Apr19,33,91
Apr20,34,101
Apr21,35,110
Apr22,36,120
Apr23,37,127
Apr24,38,131
Apr25,39,140
Apr26,40,145
Apr27,41,152
Apr28,42,155
Apr29,43,163
Apr30,44,168
May01,45,170
