day,dayNo,case
Feb28,1,1
Feb29,2,1
Mar01,3,1
Mar02,4,1
Mar03,5,4
Mar04,6,6
Mar05,7,6
Mar06,8,6
Mar07,9,6
Mar08,10,6
Mar09,11,6
Mar10,12,9
Mar11,13,9
Mar12,14,21
Mar13,15,27
Mar14,16,27
Mar15,17,27
Mar16,18,36
Mar17,19,36
Mar18,20,51
Mar19,21,51
Mar20,22,69
Mar21,23,76
Mar22,24,76
Mar23,25,81
Mar24,26,81
Mar25,27,86
Mar26,28,86
Mar27,29,94
Mar28,30,94
Mar29,31,94
Mar30,32,152
Mar31,33,152
Apr01,34,163
Apr02,35,304
Apr03,36,351
Apr04,37,440
Apr05,38,562
Apr06,39,700
Apr07,40,861
Apr08,41,1066
Apr09,42,1486
Apr10,43,1981
Apr11,44,2226
Apr12,45,2578
Apr13,46,2919
Apr14,47,3281
Apr15,48,3728
Apr16,49,4204
Apr17,50,4779
Apr18,51,4779
Apr19,52,4779
Apr20,53,6264
Apr21,54,6723
Apr22,55,7281
Apr23,56,8022
Apr24,57,8773
Apr25,58,9590
Apr26,59,10463
Apr27,60,11289
Apr28,61,12208
Apr29,62,13181
Apr30,63,14027
May01,64,14917
