day,dayNo,case
Mar31,1,1
Apr01,2,2
Apr02,3,4
Apr03,4,4
Apr04,5,5
Apr05,6,8
Apr06,7,13
Apr07,8,13
Apr08,9,13
Apr09,10,16
Apr10,11,19
Apr11,12,23
Apr12,13,26
Apr13,14,29
Apr14,15,33
Apr15,16,36
Apr16,17,40
Apr17,18,42
Apr18,19,45
Apr19,20,47
Apr20,21,51
Apr21,22,55
Apr22,23,58
Apr23,24,60
Apr24,25,63
Apr25,26,67
Apr26,27,72
Apr27,28,75
Apr28,29,79
Apr29,30,84
Apr30,31,89
May01,32,93
May02,33,97
May03,34,99
May04,35,103
May05,36,107
May06,37,112
May07,38,116
May08,39,121
May09,40,126
May10,41,131
May11,42,135
May12,43,142
May13,44,146
May14,45,151
May15,46,156
May16,47,160
May17,48,165
May18,49,171
May19,50,175
May20,51,179
May21,52,185
May22,53,190
May23,54,194
May24,55,199
May25,56,204
May26,57,208
May27,58,214
May28,59,219
May29,60,224
May30,61,229
May31,62,235
Jun01,63,240
Jun02,64,243
Jun03,65,248
Jun04,66,253
Jun05,67,259
Jun06,68,263
Jun07,69,269
Jun08,70,276
Jun09,71,282
Jun10,72,288
Jun11,73,293
Jun12,74,298
Jun13,75,303
Jun14,76,308
Jun15,77,312
Jun16,78,318
Jun17,79,324
Jun18,80,331
Jun19,81,337
Jun20,82,343
Jun21,83,346
Jun22,84,351
Jun23,85,357
Jun24,86,362
Jun25,87,367
Jun26,88,373
Jun27,89,377
Jun28,90,383
Jun29,91,387
Jun30,92,392
Jul01,93,398
Jul02,94,405
Jul03,95,412
Jul04,96,418
