day,dayNo,case
Feb15,1,1
Feb16,2,1
Feb17,3,1
Feb18,4,1
Feb19,5,1
Feb20,6,1
Feb21,7,1
Feb22,8,1
Feb23,9,1
Feb24,10,1
Feb25,11,1
Feb26,12,1
Feb27,13,1
Feb28,14,1
Feb29,15,1
Mar01,16,2
Mar02,17,8
Mar03,18,15
Mar04,19,23
Mar05,20,50
Mar06,21,109
Mar07,22,169
Mar08,23,200
Mar09,24,239
Mar10,25,267
Mar11,26,314
Mar12,27,399
Mar13,28,559
Mar14,29,689
Mar15,30,886
Mar16,31,1058
Mar17,32,1243
Mar18,33,1486
Mar19,34,1795
Mar20,35,2257
Mar21,36,2815
Mar22,37,3401
Mar23,38,3743
Mar24,39,4269
Mar25,40,4937
Mar26,41,6235
Mar27,42,7284
Mar28,43,9134
Mar29,44,10836
Mar30,45,11899
Mar31,46,12775
Apr01,47,13964
Apr02,48,15348
Apr03,49,16770
Apr04,50,18431
Apr05,51,19691
Apr06,52,20814
Apr07,53,22194
Apr08,54,23403
Apr09,55,24983
Apr10,56,26667
Apr11,57,28018
Apr12,58,29647
Apr13,59,30589
Apr14,60,31119
Apr15,61,33573
Apr16,62,34809
Apr17,63,36138
Apr18,64,37183
Apr19,65,38496
Apr20,66,39983
Apr21,67,40956
Apr22,68,41889
