day,dayNo,case
Mar11,1,3
Mar12,2,3
Mar13,3,3
Mar14,4,4
Mar15,5,4
Mar16,6,10
Mar17,7,10
Mar18,8,14
Mar19,9,21
Mar20,10,37
Mar21,11,67
Mar22,12,75
Mar23,13,88
Mar24,14,122
Mar25,15,178
Mar26,16,220
Mar27,17,289
Mar28,18,353
Mar29,19,431
Mar30,20,513
Mar31,21,705
Apr01,22,828
Apr02,23,1011
Apr03,24,1143
Apr04,25,1283
Apr05,26,1447
Apr06,27,1632
Apr07,28,2035
Apr08,29,2240
Apr09,30,2523
Apr10,31,3019
Apr11,32,3346
Apr12,33,3600
Apr13,34,3903
Apr14,35,4157
Apr15,36,4440
Apr16,37,4857
Apr17,38,5163
Apr18,39,5453
Apr19,40,5683
Apr20,41,5828
Apr21,42,5998
Apr22,43,6262
