day,dayNo,case
Mar16,1,1
Mar17,2,1
Mar18,3,2
Mar19,4,2
Mar20,5,2
Mar21,6,2
Mar22,7,2
Mar23,8,6
Mar24,9,6
Mar25,10,6
Mar26,11,6
Mar27,12,6
Mar28,13,6
Mar29,14,6
Mar30,15,6
Mar31,16,9
Apr01,17,13
Apr02,18,13
Apr03,19,16
Apr04,20,16
Apr05,21,22
Apr06,22,26
Apr07,23,26
Apr08,24,26
Apr09,25,26
Apr10,26,35
Apr11,27,35
Apr12,28,35
Apr13,29,35
Apr14,30,35
Apr15,31,35
Apr16,32,35
Apr17,33,35
Apr18,34,35
Apr19,35,35
Apr20,36,54
Apr21,37,54
Apr22,38,54
Apr23,39,54
Apr24,40,54
Apr25,41,54
Apr26,42,64
Apr27,43,64
Apr28,44,64
Apr29,45,64
Apr30,46,64
May01,47,90
May02,48,90
May03,49,90
May04,50,96
May05,51,96
May06,52,96
May07,53,140
May08,54,242
May09,55,284
May10,56,319
May11,57,319
May12,58,327
May13,59,327
May14,60,339
May15,61,339
May16,62,339
May17,63,339
May18,64,339
May19,65,130
May20,66,130
May21,67,135
May22,68,135
May23,69,135
May24,70,191
May25,71,191
May26,72,208
May27,73,210
May28,74,210
May29,75,224
May30,76,224
May31,77,232
Jun01,78,243
Jun02,79,244
Jun03,80,244
Jun04,81,261
Jun05,82,261
Jun06,83,261
Jun07,84,261
Jun08,85,288
Jun09,86,305
Jun10,87,305
Jun11,88,305
Jun12,89,388
Jun13,90,412
Jun14,91,442
Jun15,92,483
Jun16,93,532
Jun17,94,572
Jun18,95,597
Jun19,96,650
Jun20,97,650
Jun21,98,765
Jun22,99,807
Jun23,100,850
Jun24,101,902
Jun25,102,1017
Jun26,103,1053
Jun27,104,1124
Jun28,105,1149
Jun29,106,1187
Jun30,107,1199
Jul01,108,1199
Jul02,109,1199
Jul03,110,1199
Jul04,111,1199
