day,dayNo,case
Apr06,1,1
Apr07,2,1
Apr08,3,1
Apr09,4,1
Apr10,5,1
Apr11,6,1
Apr12,7,1
Apr13,8,1
Apr14,9,1
Apr15,10,1
Apr16,11,1
Apr17,12,1
Apr18,13,1
Apr19,14,1
Apr20,15,1
Apr21,16,1
Apr22,17,1
Apr23,18,1
Apr24,19,1
Apr25,20,1
Apr26,21,1
Apr27,22,1
Apr28,23,1
Apr29,24,1
Apr30,25,1
May01,26,2
May02,27,2
May03,28,2
May04,29,2
May05,30,2
May06,31,2
May07,32,2
May08,33,2
May09,34,2
May10,35,2
May11,36,2
May12,37,2
May13,38,2
May14,39,2
May15,40,2
May16,41,2
May17,42,2
May18,43,2
May19,44,2
May20,45,2
May21,46,3
May22,47,3
May23,48,3
May24,49,3
May25,50,3
May26,51,3
May27,52,3
May28,53,3
May29,54,3
May30,55,3
May31,56,3
Jun01,57,3
Jun02,58,3
Jun03,59,3
Jun04,60,3
Jun05,61,3
Jun06,62,3
Jun07,63,3
Jun08,64,4
Jun09,65,4
Jun10,66,4
Jun11,67,4
Jun12,68,5
Jun13,69,6
Jun14,70,6
Jun15,71,9
Jun16,72,9
Jun17,73,9
Jun18,74,11
Jun19,75,11
Jun20,76,11
Jun21,77,13
Jun22,78,13
Jun23,79,13
Jun24,80,13
Jun25,81,14
Jun26,82,14
Jun27,83,14
Jun28,84,16
Jun29,85,19
Jun30,86,21
Jul01,87,21
Jul02,88,21
Jul03,89,21
Jul04,90,21
