day,dayNo,case
Mar10,1,2
Mar11,2,2
Mar12,3,3
Mar13,4,10
Mar14,5,10
Mar15,6,10
Mar16,7,11
Mar17,8,12
Mar18,9,12
Mar19,10,15
Mar20,11,16
Mar21,12,19
Mar22,13,24
Mar23,14,27
Mar24,15,29
Mar25,16,32
Mar26,17,61
Mar27,18,61
Mar28,19,74
Mar29,20,81
Mar30,21,97
Mar31,22,107
Apr01,23,115
Apr02,24,123
Apr03,25,132
Apr04,26,139
Apr05,27,157
Apr06,28,183
Apr07,29,194
Apr08,30,210
Apr09,31,264
Apr10,32,268
Apr11,33,275
Apr12,34,300
Apr13,35,330
Apr14,36,354
Apr15,37,397
Apr16,38,441
Apr17,39,465
Apr18,40,493
Apr19,41,520
Apr20,42,564
Apr21,43,598
Apr22,44,609
Apr23,45,672
Apr24,46,703
Apr25,47,807
Apr26,48,866
Apr27,49,950
Apr28,50,1014
Apr29,51,1053
Apr30,52,1110
May01,53,1167
