day,dayNo,case
Mar29,1,1
Mar30,2,4
Mar31,3,6
Apr01,4,7
Apr02,5,8
Apr03,6,9
Apr04,7,10
Apr05,8,10
Apr06,9,11
Apr07,10,14
Apr08,11,15
Apr09,12,18
Apr10,13,19
Apr11,14,20
Apr12,15,24
Apr13,16,27
Apr14,17,28
Apr15,18,28
Apr16,19,29
Apr17,20,31
Apr18,21,31
Apr19,22,32
Apr20,23,33
Apr21,24,34
Apr22,25,37
Apr23,26,40
Apr24,27,43
Apr25,28,44
Apr26,29,46
Apr27,30,50
Apr28,31,53
Apr29,32,55
Apr30,33,59
May01,34,62
May02,35,66
May03,36,71
May04,37,76
May05,38,82
May06,39,86
May07,40,91
May08,41,102
May09,42,106
May10,43,114
May11,44,118
May12,45,122
May13,46,128
May14,47,142
May15,48,152
May16,49,164
May17,50,165
May18,51,169
May19,52,174
May20,53,189
May21,54,199
May22,55,215
May23,56,230
May24,57,240
May25,58,250
May26,59,261
May27,60,274
May28,61,280
May29,62,293
May30,63,300
May31,64,310
Jun01,65,313
Jun02,66,343
Jun03,67,376
Jun04,68,400
Jun05,69,415
Jun06,70,427
Jun07,71,454
Jun08,72,465
Jun09,73,475
Jun10,74,487
Jun11,75,512
Jun12,76,533
Jun13,77,559
Jun14,78,585
Jun15,79,611
Jun16,80,632
Jun17,81,659
Jun18,82,679
Jun19,83,697
Jun20,84,715
Jun21,85,740
Jun22,86,773
Jun23,87,820
Jun24,88,846
Jun25,89,876
Jun26,90,913
Jun27,91,934
Jun28,92,970
Jun29,93,1014
Jun30,94,1071
Jul01,95,1123
Jul02,96,1201
Jul03,97,1271
Jul04,98,1320
