day,dayNo,case
Mar05,1,2
Mar06,2,3
Mar07,3,3
Mar08,4,3
Mar09,5,5
Mar10,6,7
Mar11,7,7
Mar12,8,11
Mar13,9,18
Mar14,10,21
Mar15,11,24
Mar16,12,25
Mar17,13,34
Mar18,14,39
Mar19,15,64
Mar20,16,89
Mar21,17,93
Mar22,18,126
Mar23,19,136
Mar24,20,168
Mar25,21,176
Mar26,22,191
Mar27,23,237
Mar28,24,278
Mar29,25,323
Mar30,26,368
Mar31,27,420
Apr01,28,459
Apr02,29,533
Apr03,30,579
Apr04,31,624
Apr05,32,654
Apr06,33,674
Apr07,34,764
Apr08,35,804
Apr09,36,858
Apr10,37,901
Apr11,38,946
Apr12,39,1009
Apr13,40,1037
Apr14,41,1083
Apr15,42,1110
Apr16,43,1167
Apr17,44,1214
Apr18,45,1268
Apr19,46,1285
Apr20,47,1309
Apr21,48,1342
Apr22,49,1368
Apr23,50,1413
Apr24,51,1421
Apr25,52,1486
Apr26,53,1516
Apr27,54,1565
Apr28,55,1585
Apr29,56,1677
Apr30,57,1757
May01,58,1781
