day,dayNo,case
Mar21,1,1
Mar22,2,1
Mar23,3,1
Mar24,4,3
Mar25,5,3
Mar26,6,3
Mar27,7,4
Mar28,8,6
Mar29,9,6
Mar30,10,10
Mar31,11,13
Apr01,12,13
Apr02,13,16
Apr03,14,17
Apr04,15,21
Apr05,16,23
Apr06,17,29
Apr07,18,33
Apr08,19,34
Apr09,20,35
Apr10,21,36
Apr11,22,37
Apr12,23,39
Apr13,24,39
Apr14,25,40
Apr15,26,41
Apr16,27,43
Apr17,28,46
Apr18,29,47
Apr19,30,48
Apr20,31,49
Apr21,32,51
Apr22,33,53
Apr23,34,54
Apr24,35,55
Apr25,36,57
Apr26,37,59
Apr27,38,60
Apr28,39,63
Apr29,40,65
Apr30,41,69
May01,42,70
