day,dayNo,case
Feb25,1,1
Feb26,2,1
Feb27,3,1
Feb28,4,1
Feb29,5,2
Mar01,6,2
Mar02,7,2
Mar03,8,2
Mar04,9,3
Mar05,10,8
Mar06,11,13
Mar07,12,19
Mar08,13,25
Mar09,14,25
Mar10,15,34
Mar11,16,52
Mar12,17,77
Mar13,18,151
Mar14,19,151
Mar15,20,200
Mar16,21,234
Mar17,22,346
Mar18,23,529
Mar19,24,640
Mar20,25,970
Mar21,26,1178
Mar22,27,1546
Mar23,28,1924
Mar24,29,2247
Mar25,30,2554
Mar26,31,2985
Mar27,32,3417
Mar28,33,3904
Mar29,34,4256
Mar30,35,4630
Mar31,36,5717
Apr01,37,6880
Apr02,38,8044
Apr03,39,9194
Apr04,40,10360
Apr05,41,11254
Apr06,42,12183
Apr07,43,14034
Apr08,44,16188
Apr09,45,18145
Apr10,46,19789
Apr11,47,20962
Apr12,48,22192
Apr13,49,23430
Apr14,50,25262
Apr15,51,28610
Apr16,52,30683
Apr17,53,33682
Apr18,54,36722
Apr19,55,38654
Apr20,56,40743
Apr21,57,43079
Apr22,58,45757
Apr23,59,49492
Apr24,60,52995
Apr25,61,59196
Apr26,62,62859
Apr27,63,66501
Apr28,64,72899
Apr29,65,79361
Apr30,66,85380
May01,67,92109
May02,68,96559
May03,69,101147
May04,70,108266
May05,71,114715
May06,72,126611
May07,73,135693
May08,74,145892
May09,75,156061
May10,76,162699
May11,77,169143
May12,78,177602
May13,79,189157
May14,80,202918
May15,81,218223
May16,82,233142
May17,83,241080
May18,84,255368
May19,85,271885
May20,86,293357
May21,87,310921
May22,88,330890
May23,89,347398
May24,90,363618
May25,91,376669
May26,92,392360
May27,93,414661
May28,94,438812
May29,95,468338
May30,96,498440
May31,97,514849
Jun01,98,529405
Jun02,99,556668
Jun03,100,583980
Jun04,101,615870
Jun05,102,646006
Jun06,103,673587
Jun07,104,691962
Jun08,105,710887
Jun09,106,742084
Jun10,107,775184
Jun11,108,805649
Jun12,109,829902
Jun13,110,850796
Jun14,111,867882
Jun15,112,891556
Jun16,113,928834
Jun17,114,960309
Jun18,115,983359
Jun19,116,1038568
Jun20,117,1070139
Jun21,118,1086990
Jun22,119,1111348
Jun23,120,1151479
Jun24,121,1192474
Jun25,122,1233147
Jun26,123,1280054
Jun27,124,1315941
Jun28,125,1345254
Jun29,126,1370488
Jun30,127,1408485
Jul01,128,1453369
Jul02,129,1501353
Jul03,130,1543341
Jul04,131,1578376
