day,dayNo,case
Mar17,1,1
Mar18,2,4
Mar19,3,7
Mar20,4,11
Mar21,5,18
Mar22,6,25
Mar23,7,34
Mar24,8,46
Mar25,9,59
Mar26,10,77
Mar27,11,92
Mar28,12,114
Mar29,13,136
Mar30,14,163
Mar31,15,201
Apr01,16,242
Apr02,17,324
Apr03,18,363
Apr04,19,445
Apr05,20,486
Apr06,21,564
Apr07,22,686
Apr08,23,820
Apr09,24,954
Apr10,25,1068
Apr11,26,1140
Apr12,27,1223
Apr13,28,1328
Apr14,29,1532
Apr15,30,1757
Apr16,31,1947
Apr17,32,2141
Apr18,33,2361
Apr19,34,2462
Apr20,35,2587
Apr21,36,2741
Apr22,37,2906
Apr23,38,3313
Apr24,39,3670
Apr25,40,4045
Apr26,41,4271
Apr27,42,4543
Apr28,43,5063
Apr29,44,5511
Apr30,45,5901
May01,46,6410
May02,47,6750
May03,48,7025
May04,49,7343
May05,50,7921
May06,51,8588
May07,52,9188
May08,53,9992
May09,54,10656
May10,55,11123
May11,56,11625
May12,57,12404
May13,58,13158
May14,59,13993
May15,60,14817
May16,61,15633
May17,62,16118
May18,63,16853
May19,64,17983
May20,65,18894
May21,66,20082
May22,67,21048
May23,68,22013
May24,69,22716
May25,70,23522
May26,71,24549
May27,72,25697
May28,73,26764
May29,74,27944
May30,75,28834
May31,76,29314
Jun01,77,30046
Jun02,78,31278
Jun03,79,32547
Jun04,80,34039
Jun05,81,35047
Jun06,82,35957
Jun07,83,36499
Jun08,84,37312
Jun09,85,38497
Jun10,86,39797
Jun11,87,41058
Jun12,88,41901
Jun13,89,42791
Jun14,90,43389
Jun15,91,44118
Jun16,92,45456
Jun17,93,46665
Jun18,94,47869
Jun19,95,49090
Jun20,96,50058
Jun21,97,50659
Jun22,98,51407
Jun23,99,52771
Jun24,100,53874
Jun25,101,55054
Jun26,102,56109
Jun27,103,57103
Jun28,104,57658
Jun29,105,58385
Jun30,106,59656
Jul01,107,60713
Jul02,108,61990
Jul03,109,63254
Jul04,110,64365
