day,dayNo,case
Mar07,1,2
Mar08,2,4
Mar09,3,4
Mar10,4,6
Mar11,5,7
Mar12,6,23
Mar13,7,31
Mar14,8,41
Mar15,9,51
Mar16,10,62
Mar17,11,81
Mar18,12,92
Mar19,13,107
Mar20,14,127
Mar21,15,163
Mar22,16,187
Mar23,17,201
Mar24,18,218
Mar25,19,242
Mar26,20,264
Mar27,21,293
Mar28,22,331
Mar29,23,346
Mar30,24,359
Mar31,25,399
Apr01,26,422
Apr02,27,457
Apr03,28,485
Apr04,29,503
Apr05,30,531
Apr06,31,549
Apr07,32,577
Apr08,33,593
Apr09,34,618
Apr10,35,635
Apr11,36,661
Apr12,37,675
Apr13,38,685
Apr14,39,713
Apr15,40,747
Apr16,41,800
Apr17,42,846
Apr18,43,878
Apr19,44,894
Apr20,45,929
Apr21,46,975
Apr22,47,1024
Apr23,48,1097
Apr24,49,1188
Apr25,50,1247
Apr26,51,1300
Apr27,52,1363
Apr28,53,1399
Apr29,54,1447
Apr30,55,1506
May01,56,1555
