day,dayNo,case
Mar11,1,1
Mar12,2,1
Mar13,3,1
Mar14,4,2
Mar15,5,2
Mar16,6,2
Mar17,7,2
Mar18,8,2
Mar19,9,3
Mar20,10,3
Mar21,11,3
Mar22,12,3
Mar23,13,3
Mar24,14,3
Mar25,15,3
Mar26,16,3
Mar27,17,3
Mar28,18,7
Mar29,19,8
Mar30,20,8
Mar31,21,8
Apr01,22,10
Apr02,23,10
Apr03,24,14
Apr04,25,17
Apr05,26,20
Apr06,27,22
Apr07,28,23
Apr08,29,24
Apr09,30,24
Apr10,31,25
Apr11,32,28
Apr12,33,29
Apr13,34,32
Apr14,35,35
Apr15,36,36
Apr16,37,38
Apr17,38,41
Apr18,39,41
Apr19,40,42
Apr20,41,43
Apr21,42,45
Apr22,43,49
Apr23,44,52
Apr24,45,54
Apr25,46,55
Apr26,47,56
Apr27,48,58
Apr28,49,58
Apr29,50,64
Apr30,51,66
May01,52,68
May02,53,72
May03,54,73
May04,55,78
May05,56,80
May06,57,84
May07,58,84
May08,59,86
May09,60,90
May10,61,91
May11,62,93
May12,63,95
May13,64,96
May14,65,99
May15,66,102
May16,67,105
May17,68,108
May18,69,110
May19,70,112
May20,71,116
May21,72,120
May22,73,125
May23,74,126
May24,75,130
May25,76,130
May26,77,130
May27,78,133
May28,79,134
May29,80,136
May30,81,139
May31,82,140
Jun01,83,140
Jun02,84,144
Jun03,85,146
Jun04,86,159
Jun05,87,159
Jun06,88,160
Jun07,89,160
Jun08,90,164
Jun09,91,167
Jun10,92,167
Jun11,93,168
Jun12,94,172
Jun13,95,172
Jun14,96,174
Jun15,97,176
Jun16,98,181
Jun17,99,184
Jun18,100,190
Jun19,101,193
Jun20,102,199
Jun21,103,199
Jun22,104,207
Jun23,105,208
Jun24,106,209
Jun25,107,211
Jun26,108,215
Jun27,109,216
Jun28,110,219
Jun29,111,223
Jun30,112,230
Jul01,113,232
Jul02,114,232
Jul03,115,239
Jul04,116,241
