day,dayNo,case
Mar09,1,1
Mar10,2,2
Mar11,3,2
Mar12,4,2
Mar13,5,2
Mar14,6,2
Mar15,7,3
Mar16,8,15
Mar17,9,15
Mar18,10,27
Mar19,11,33
Mar20,12,40
Mar21,13,64
Mar22,14,75
Mar23,15,99
Mar24,16,114
Mar25,17,146
Mar26,18,152
Mar27,19,180
Mar28,20,207
Mar29,21,222
Mar30,22,246
Mar31,23,261
Apr01,24,282
Apr02,25,288
Apr03,26,302
Apr04,27,318
Apr05,28,345
Apr06,29,364
Apr07,30,384
Apr08,31,414
Apr09,32,443
Apr10,33,448
Apr11,34,484
Apr12,35,497
Apr13,36,515
Apr14,37,528
Apr15,38,542
Apr16,39,546
Apr17,40,557
Apr18,41,565
Apr19,42,576
Apr20,43,581
Apr21,44,600
Apr22,45,609
Apr23,46,616
Apr24,47,629
Apr25,48,629
Apr26,49,632
Apr27,50,635
Apr28,51,638
Apr29,52,641
Apr30,53,645
May01,54,649
