day,dayNo,case
Mar18,1,1
Mar19,2,1
Mar20,3,1
Mar21,4,3
Mar22,5,4
Mar23,6,4
Mar24,7,4
Mar25,8,4
Mar26,9,7
Mar27,10,9
Mar28,11,11
Mar29,12,12
Mar30,13,12
Mar31,14,14
Apr01,15,16
Apr02,16,16
Apr03,17,16
Apr04,18,16
Apr05,19,17
Apr06,20,18
Apr07,21,19
Apr08,22,23
Apr09,23,24
Apr10,24,26
Apr11,25,27
Apr12,26,27
Apr13,27,27
Apr14,28,30
Apr15,29,32
Apr16,30,32
Apr17,31,35
Apr18,32,36
Apr19,33,36
Apr20,34,38
Apr21,35,38
Apr22,36,39
Apr23,37,41
Apr24,38,41
Apr25,39,41
Apr26,40,42
Apr27,41,42
Apr28,42,42
Apr29,43,43
Apr30,44,43
May01,45,44
