day,dayNo,case
Mar15,1,1
Mar16,2,1
Mar17,3,1
Mar18,4,1
Mar19,5,1
Mar20,6,3
Mar21,7,3
Mar22,8,3
Mar23,9,3
Mar24,10,3
Mar25,11,3
Mar26,12,3
Mar27,13,3
Mar28,14,3
Mar29,15,3
Mar30,16,3
Mar31,17,3
Apr01,18,3
Apr02,19,3
Apr03,20,8
Apr04,21,8
Apr05,22,8
Apr06,23,8
Apr07,24,8
Apr08,25,8
Apr09,26,8
Apr10,27,8
Apr11,28,8
Apr12,29,8
Apr13,30,11
Apr14,31,11
Apr15,32,12
Apr16,33,12
Apr17,34,12
Apr18,35,12
Apr19,36,12
Apr20,37,12
Apr21,38,14
Apr22,39,16
Apr23,40,16
Apr24,41,16
Apr25,42,16
Apr26,43,41
Apr27,44,50
Apr28,45,50
Apr29,46,50
Apr30,47,50
May01,48,72
May02,49,72
May03,50,72
May04,51,85
May05,52,85
May06,53,94
May07,54,94
May08,55,143
May09,56,143
May10,57,143
May11,58,143
May12,59,143
May13,60,143
May14,61,143
May15,62,301
May16,63,327
May17,64,327
May18,65,327
May19,66,366
May20,67,418
May21,68,436
May22,69,479
May23,70,552
May24,71,604
May25,72,652
May26,73,671
May27,74,702
May28,75,755
May29,76,874
May30,77,962
May31,78,1011
Jun01,79,1069
Jun02,80,1069
Jun03,81,1173
Jun04,82,1288
Jun05,83,1451
Jun06,84,1570
Jun07,85,1634
Jun08,86,1850
Jun09,87,1850
Jun10,88,1888
Jun11,89,1952
Jun12,90,2044
Jun13,91,2057
Jun14,92,2057
Jun15,93,2222
Jun16,94,2410
Jun17,95,2564
Jun18,96,2605
Jun19,97,2605
Jun20,98,2686
Jun21,99,2808
Jun22,100,2963
Jun23,101,3051
Jun24,102,3099
Jun25,103,3244
Jun26,104,3340
Jun27,105,3429
Jun28,106,3531
Jun29,107,3613
Jun30,108,3745
Jul01,109,3745
Jul02,110,3788
Jul03,111,3918
Jul04,112,3969
