day,dayNo,case
Mar20,1,1
Mar21,2,3
Mar22,3,3
Mar23,4,3
Mar24,5,3
Mar25,6,4
Mar26,7,5
Mar27,8,5
Mar28,9,6
Mar29,10,6
Mar30,11,6
Mar31,12,6
Apr01,13,6
Apr02,14,6
Apr03,15,6
Apr04,16,7
Apr05,17,7
Apr06,18,7
Apr07,19,7
Apr08,20,7
Apr09,21,7
Apr10,22,7
Apr11,23,8
Apr12,24,8
Apr13,25,10
Apr14,26,11
Apr15,27,56
Apr16,28,56
Apr17,29,56
Apr18,30,58
Apr19,31,61
Apr20,32,67
Apr21,33,68
Apr22,34,73
Apr23,35,82
Apr24,36,88
Apr25,37,90
Apr26,38,106
Apr27,39,109
Apr28,40,113
Apr29,41,113
Apr30,42,121
May01,43,122
May02,44,152
May03,45,165
May04,46,175
May05,47,186
May06,48,191
May07,49,218
May08,50,230
May09,51,236
May10,52,246
May11,53,260
May12,54,267
May13,55,289
May14,56,315
May15,57,326
May16,58,328
May17,59,328
May18,60,328
May19,61,335
May20,62,349
May21,63,356
May22,64,362
May23,65,371
May24,66,380
May25,67,390
May26,68,390
May27,69,390
May28,70,390
May29,71,405
May30,72,421
May31,73,435
Jun01,74,458
Jun02,75,466
Jun03,76,477
Jun04,77,502
Jun05,78,536
Jun06,79,542
Jun07,80,554
Jun08,81,567
Jun09,82,585
Jun10,83,615
Jun11,84,657
Jun12,85,697
Jun13,86,726
Jun14,87,750
Jun15,88,760
Jun16,89,781
Jun17,90,792
Jun18,91,823
Jun19,92,848
Jun20,93,863
Jun21,94,890
Jun22,95,944
Jun23,96,982
Jun24,97,999
Jun25,98,1003
Jun26,99,1027
Jun27,100,1091
Jun28,101,1155
Jun29,102,1165
Jun30,103,1227
Jul01,104,1267
Jul02,105,1301
Jul03,106,1382
Jul04,107,1421
