day,dayNo,case
Mar24,1,1
Mar25,2,1
Mar26,3,1
Mar27,4,1
Mar28,5,1
Mar29,6,1
Mar30,7,1
Mar31,8,1
Apr01,9,1
Apr02,10,1
Apr03,11,1
Apr04,12,1
Apr05,13,1
Apr06,14,1
Apr07,15,1
Apr08,16,1
Apr09,17,1
Apr10,18,1
Apr11,19,1
Apr12,20,1
Apr13,21,1
Apr14,22,1
Apr15,23,1
Apr16,24,1
Apr17,25,1
Apr18,26,1
Apr19,27,1
Apr20,28,1
Apr21,29,1
Apr22,30,1
Apr23,31,1
Apr24,32,1
Apr25,33,1
Apr26,34,1
Apr27,35,1
Apr28,36,1
Apr29,37,1
Apr30,38,1
May01,39,1
May02,40,2
May03,41,2
May04,42,2
May05,43,2
May06,44,2
May07,45,2
May08,46,2
May09,47,2
May10,48,2
May11,49,2
May12,50,2
May13,51,2
May14,52,2
May15,53,2
May16,54,3
May17,55,3
May18,56,3
May19,57,3
May20,58,3
May21,59,3
May22,60,3
May23,61,3
May24,62,3
May25,63,3
May26,64,4
May27,65,4
May28,66,4
May29,67,4
May30,68,4
May31,69,4
Jun01,70,4
Jun02,71,5
Jun03,72,5
Jun04,73,5
Jun05,74,5
Jun06,75,5
Jun07,76,5
Jun08,77,5
Jun09,78,5
Jun10,79,5
Jun11,80,6
Jun12,81,6
Jun13,82,6
Jun14,83,6
Jun15,84,7
Jun16,85,7
Jun17,86,7
Jun18,87,7
Jun19,88,8
Jun20,89,8
Jun21,90,8
Jun22,91,8
Jun23,92,8
Jun24,93,8
Jun25,94,8
Jun26,95,10
Jun27,96,12
Jun28,97,12
Jun29,98,12
Jun30,99,15
Jul01,100,15
Jul02,101,15
Jul03,102,15
Jul04,103,16
