day,dayNo,case
Mar06,1,2
Mar07,2,2
Mar08,3,2
Mar09,4,2
Mar10,5,2
Mar11,6,2
Mar12,7,2
Mar13,8,2
Mar14,9,3
Mar15,10,4
Mar16,11,5
Mar17,12,10
Mar18,13,13
Mar19,14,13
Mar20,15,27
Mar21,16,40
Mar22,17,40
Mar23,18,56
Mar24,19,66
Mar25,20,75
Mar26,21,75
Mar27,22,91
Mar28,23,91
Mar29,24,139
Mar30,25,139
Mar31,26,193
Apr01,27,233
Apr02,28,306
Apr03,29,509
Apr04,30,555
Apr05,31,650
Apr06,32,658
Apr07,33,685
Apr08,34,730
Apr09,35,803
Apr10,36,820
Apr11,37,820
Apr12,38,820
Apr13,39,848
Apr14,40,848
Apr15,41,848
Apr16,42,996
Apr17,43,996
Apr18,44,1017
Apr19,45,1017
Apr20,46,1163
Apr21,47,1163
Apr22,48,1163
Apr23,49,1334
Apr24,50,1430
Apr25,51,1518
Apr26,52,1621
Apr27,53,1705
Apr28,54,1705
Apr29,55,1832
Apr30,56,1832
May01,57,1832
