day,dayNo,case
Mar24,1,1
Mar25,2,1
Mar26,3,1
Mar27,4,2
Mar28,5,2
Mar29,6,6
Mar30,7,6
Mar31,8,6
Apr01,9,6
Apr02,10,7
Apr03,11,8
Apr04,12,9
Apr05,13,9
Apr06,14,9
Apr07,15,9
Apr08,16,10
Apr09,17,12
Apr10,18,12
Apr11,19,12
Apr12,20,12
Apr13,21,12
Apr14,22,14
Apr15,23,17
Apr16,24,22
Apr17,25,22
Apr18,26,42
Apr19,27,42
Apr20,28,42
Apr21,29,43
Apr22,30,43
Apr23,31,43
Apr24,32,43
Apr25,33,53
Apr26,34,56
Apr27,35,58
Apr28,36,58
Apr29,37,61
Apr30,38,61
May01,39,61
May02,40,64
May03,41,64
May04,42,64
May05,43,64
May06,44,108
May07,45,108
May08,46,108
May09,47,108
May10,48,114
May11,49,125
May12,50,125
May13,51,136
May14,52,139
May15,53,139
May16,54,140
May17,55,140
May18,56,140
May19,57,140
May20,58,146
May21,59,156
May22,60,159
May23,61,159
May24,62,165
May25,63,165
May26,64,175
May27,65,175
May28,66,175
May29,67,177
May30,68,191
May31,69,191
Jun01,70,199
Jun02,71,200
Jun03,72,200
Jun04,73,203
Jun05,74,205
Jun06,75,212
Jun07,76,212
Jun08,77,212
Jun09,78,212
Jun10,79,212
Jun11,80,212
Jun12,81,212
Jun13,82,212
Jun14,83,212
Jun15,84,276
Jun16,85,276
Jun17,86,276
Jun18,87,282
Jun19,88,300
Jun20,89,301
Jun21,90,303
Jun22,91,308
Jun23,92,313
Jun24,93,313
Jun25,94,313
Jun26,95,313
Jun27,96,313
Jun28,97,313
Jun29,98,313
Jun30,99,313
Jul01,100,313
Jul02,101,313
Jul03,102,313
Jul04,103,313
