day,dayNo,case
Feb15,1,8
Feb16,2,8
Feb17,3,8
Feb18,4,8
Feb19,5,8
Feb20,6,8
Feb21,7,9
Feb22,8,9
Feb23,9,10
Feb24,10,11
Feb25,11,11
Feb26,12,12
Feb27,13,14
Feb28,14,15
Feb29,15,20
Mar01,16,24
Mar02,17,27
Mar03,18,30
Mar04,19,34
Mar05,20,37
Mar06,21,54
Mar07,22,60
Mar08,23,66
Mar09,24,77
Mar10,25,95
Mar11,26,110
Mar12,27,142
Mar13,28,198
Mar14,29,252
Mar15,30,341
Mar16,31,441
Mar17,32,598
Mar18,33,727
Mar19,34,873
Mar20,35,1087
Mar21,36,1328
Mar22,37,1470
Mar23,38,2091
Mar24,39,2792
Mar25,40,3409
Mar26,41,4043
Mar27,42,4757
Mar28,43,5655
Mar29,44,6320
Mar30,45,7448
Mar31,46,8612
Apr01,47,9731
Apr02,48,11283
Apr03,49,12375
Apr04,50,13912
Apr05,51,15512
Apr06,52,16667
Apr07,53,17897
Apr08,54,19438
Apr09,55,20765
Apr10,56,22148
Apr11,57,23318
Apr12,58,24383
Apr13,59,25680
Apr14,60,27063
Apr15,61,28379
Apr16,62,30106
Apr17,63,31927
Apr18,64,33383
Apr19,65,35056
Apr20,66,36829
Apr21,67,38422
Apr22,68,40190
