day,dayNo,case
Mar09,1,1
Mar10,2,1
Mar11,3,1
Mar12,4,1
Mar13,5,1
Mar14,6,1
Mar15,7,1
Mar16,8,4
Mar17,9,8
Mar18,10,9
Mar19,11,12
Mar20,12,12
Mar21,13,19
Mar22,14,20
Mar23,15,24
Mar24,16,26
Mar25,17,36
Mar26,18,39
Mar27,19,55
Mar28,20,60
Mar29,21,65
Mar30,22,89
Mar31,23,101
Apr01,24,114
Apr02,25,173
Apr03,26,208
Apr04,27,231
Apr05,28,280
Apr06,29,323
Apr07,30,381
Apr08,31,427
Apr09,32,509
Apr10,33,569
Apr11,34,653
Apr12,35,717
Apr13,36,780
Apr14,37,903
Apr15,38,1010
Apr16,39,1195
Apr17,40,1310
Apr18,41,1470
Apr19,42,1587
Apr20,43,1690
Apr21,44,1834
Apr22,45,1974
Apr23,46,2147
Apr24,47,2302
Apr25,48,2465
Apr26,49,2560
Apr27,50,2707
Apr28,51,2859
Apr29,52,2996
Apr30,53,3184
May01,54,3391
May02,55,3566
May03,56,3682
May04,57,3854
May05,58,4043
May06,59,4232
May07,60,4408
May08,61,4569
May09,62,4693
May10,63,4870
May11,64,4993
May12,65,5169
May13,66,5302
May14,67,5472
May15,68,5562
May16,69,5679
May17,70,5782
May18,71,5842
May19,72,5912
May20,73,6031
May21,74,6152
May22,75,6250
May23,76,6355
May24,77,6424
May25,78,6545
May26,79,6639
May27,80,6765
May28,81,6877
May29,82,6979
May30,83,7073
May31,84,7295
Jun01,85,7326
Jun02,86,7395
Jun03,87,7498
Jun04,88,7637
Jun05,89,7703
Jun06,90,7773
Jun07,91,7800
Jun08,92,7835
Jun09,93,7897
Jun10,94,7960
Jun11,95,7994
Jun12,96,8049
Jun13,97,8107
Jun14,98,8146
Jun15,99,8175
Jun16,100,8213
Jun17,101,8254
Jun18,102,8300
Jun19,103,8346
Jun20,104,8410
Jun21,105,8430
Jun22,106,8436
Jun23,107,8454
Jun24,108,8484
Jun25,109,8504
Jun26,110,8508
Jun27,111,8516
Jun28,112,8522
Jun29,113,8566
Jun30,114,8591
Jul01,115,8615
Jul02,116,8642
Jul03,117,8663
Jul04,118,8674
