day,dayNo,case
Mar03,1,1
Mar04,2,3
Mar05,3,4
Mar06,4,5
Mar07,5,7
Mar08,6,11
Mar09,7,15
Mar10,8,20
Mar11,9,27
Mar12,10,39
Mar13,11,51
Mar14,12,72
Mar15,13,88
Mar16,14,183
Mar17,15,236
Mar18,16,279
Mar19,17,401
Mar20,18,509
Mar21,19,630
Mar22,20,741
Mar23,21,874
Mar24,22,1080
Mar25,23,1337
Mar26,24,1529
Mar27,25,1885
Mar28,26,2235
Mar29,27,2504
Mar30,28,2867
Mar31,29,3205
Apr01,30,3548
Apr02,31,3985
Apr03,32,4375
Apr04,33,4871
Apr05,34,5234
Apr06,35,5637
Apr07,36,5989
Apr08,37,6492
Apr09,38,6991
Apr10,39,7610
Apr11,40,8109
Apr12,41,8444
Apr13,42,8809
Apr14,43,9268
Apr15,44,9685
Apr16,45,10310
Apr17,46,10831
Apr18,47,11390
Apr19,48,11809
Apr20,49,12299
Apr21,50,12679
Apr22,51,13222
Apr23,52,13826
Apr24,53,14404
Apr25,54,15050
Apr26,55,15604
Apr27,56,16168
Apr28,57,16814
Apr29,58,17423
Apr30,59,18755
May01,60,19908
May02,61,21578
May03,62,23015
May04,63,24162
May05,64,25769
May06,65,26977
May07,66,28771
May08,67,30399
May09,68,31858
May10,69,33786
May11,70,35187
May12,71,37127
May13,72,40240
May14,73,43352
May15,74,46280
May16,75,48487
May17,76,51241
May18,77,53907
May19,78,58027
May20,79,62753
May21,80,67392
May22,81,72396
May23,82,76534
May24,83,80875
May25,84,86604
May26,85,91243
May27,86,96308
May28,87,101755
May29,88,106079
May30,89,111018
May31,90,116671
Jun01,91,123074
Jun02,92,127202
Jun03,93,132986
Jun04,94,138445
Jun05,95,143369
Jun06,96,149509
Jun07,97,157005
Jun08,98,162501
Jun09,99,167081
Jun10,100,173795
Jun11,101,180344
Jun12,102,188249
Jun13,103,195867
Jun14,104,203987
Jun15,105,210006
Jun16,106,215871
Jun17,107,220628
Jun18,108,225103
Jun19,109,231393
Jun20,110,236748
Jun21,111,242355
Jun22,112,246963
Jun23,113,250767
Jun24,114,254416
Jun25,115,259064
Jun26,116,263360
Jun27,117,267766
Jun28,118,271982
Jun29,119,275999
Jun30,120,279393
Jul01,121,282043
Jul02,122,284541
Jul03,123,288089
Jul04,124,291847
