day,dayNo,case
Mar21,1,1
Mar22,2,1
Mar23,3,2
Mar24,4,2
Mar25,5,3
Mar26,6,4
Mar27,7,5
Mar28,8,6
Mar29,9,7
Mar30,10,8
Mar31,11,12
Apr01,12,16
Apr02,13,18
Apr03,14,22
Apr04,15,27
Apr05,16,34
Apr06,17,37
Apr07,18,43
Apr08,19,48
Apr09,20,57
Apr10,21,65
Apr11,22,73
Apr12,23,80
Apr13,24,82
Apr14,25,92
Apr15,26,94
Apr16,27,105
Apr17,28,116
Apr18,29,126
Apr19,30,133
Apr20,31,139
Apr21,32,147
Apr22,33,160
Apr23,34,168
Apr24,35,174
Apr25,36,181
Apr26,37,189
Apr27,38,198
Apr28,39,207
Apr29,40,216
Apr30,41,227
May01,42,234
May02,43,247
May03,44,260
May04,45,270
May05,46,275
May06,47,281
May07,48,285
May08,49,294
May09,50,304
May10,51,312
May11,52,323
May12,53,335
May13,54,346
May14,55,368
May15,56,394
May16,57,421
May17,58,450
May18,59,478
May19,60,509
May20,61,544
May21,62,589
May22,63,630
May23,64,673
May24,65,718
May25,66,761
May26,67,806
May27,68,841
May28,69,890
May29,70,944
May30,71,997
May31,72,1054
Jun01,73,1113
Jun02,74,1188
Jun03,75,1275
Jun04,76,1356
Jun05,77,1448
Jun06,78,1541
Jun07,79,2190
Jun08,80,2264
Jun09,81,2283
Jun10,82,2475
Jun11,83,2648
Jun12,84,2870
Jun13,85,3101
Jun14,86,3323
Jun15,87,3362
Jun16,88,3383
Jun17,89,3615
Jun18,90,3841
Jun19,91,4093
Jun20,92,4295
Jun21,93,4479
Jun22,94,4502
Jun23,95,4505
Jun24,96,4731
Jun25,97,4903
Jun26,98,5068
Jun27,99,5347
Jun28,100,5509
Jun29,101,5575
Jun30,102,5688
Jul01,103,5753
Jul02,104,5920
Jul03,105,6051
Jul04,106,6192
