day,dayNo,case
Mar06,1,1
Mar07,2,1
Mar08,3,1
Mar09,4,3
Mar10,5,3
Mar11,6,9
Mar12,7,9
Mar13,8,16
Mar14,9,24
Mar15,10,34
Mar16,11,54
Mar17,12,65
Mar18,13,93
Mar19,14,108
Mar20,15,145
Mar21,16,196
Mar22,17,231
Mar23,18,277
Mar24,19,378
Mar25,20,470
Mar26,21,491
Mar27,22,539
Mar28,23,608
Mar29,24,702
Mar30,25,798
Mar31,26,906
Apr01,27,1065
Apr02,28,1161
Apr03,29,1267
Apr04,30,1406
Apr05,31,1485
Apr06,32,1579
Apr07,33,1780
Apr08,34,2054
Apr09,35,2223
Apr10,36,2473
Apr11,37,2709
Apr12,38,2776
Apr13,39,2852
Apr14,40,2979
Apr15,41,3105
Apr16,42,3233
Apr17,43,3439
Apr18,44,3621
Apr19,45,3792
Apr20,46,3977
Apr21,47,4149
Apr22,48,4356
Apr23,49,4561
Apr24,50,4881
Apr25,51,5142
Apr26,52,5379
Apr27,53,5597
Apr28,54,5949
Apr29,55,6207
Apr30,56,6507
May01,57,7006
