day,dayNo,case
Mar22,1,2
Mar23,2,3
Mar24,3,3
Mar25,4,4
Mar26,5,6
Mar27,6,6
Mar28,7,6
Mar29,8,10
Mar30,9,14
Mar31,10,16
Apr01,11,17
Apr02,12,19
Apr03,13,25
Apr04,14,32
Apr05,15,35
Apr06,16,46
Apr07,17,50
Apr08,18,55
Apr09,19,69
Apr10,20,80
Apr11,21,100
Apr12,22,109
Apr13,23,112
Apr14,24,127
Apr15,25,131
Apr16,26,144
Apr17,27,153
Apr18,28,166
Apr19,29,179
Apr20,30,189
Apr21,31,196
Apr22,32,206
Apr23,33,215
Apr24,34,225
Apr25,35,233
Apr26,36,244
Apr27,37,253
Apr28,38,269
Apr29,39,278
Apr30,40,293
May01,41,314
