day,dayNo,case
Mar15,1,1
Mar16,2,1
Mar17,3,1
Mar18,4,1
Mar19,5,3
Mar20,6,3
Mar21,7,3
Mar22,8,3
Mar23,9,4
Mar24,10,4
Mar25,11,4
Mar26,12,4
Mar27,13,4
Mar28,14,4
Mar29,15,19
Mar30,16,19
Mar31,17,19
Apr01,18,22
Apr02,19,22
Apr03,20,22
Apr04,21,22
Apr05,22,45
Apr06,23,45
Apr07,24,45
Apr08,25,45
Apr09,26,60
Apr10,27,60
Apr11,28,60
Apr12,29,60
Apr13,30,60
Apr14,31,74
Apr15,32,117
Apr16,33,117
Apr17,34,143
Apr18,35,143
Apr19,36,143
Apr20,37,160
Apr21,38,165
Apr22,39,186
Apr23,40,186
Apr24,41,200
Apr25,42,200
Apr26,43,200
Apr27,44,207
Apr28,45,207
Apr29,46,207
Apr30,47,220
May01,48,229
May02,49,229
May03,50,229
May04,51,236
May05,52,236
May06,53,264
May07,54,264
May08,55,274
May09,56,274
May10,57,274
May11,58,333
May12,59,333
May13,60,333
May14,61,391
May15,62,391
May16,63,391
May17,64,391
May18,65,412
May19,66,420
May20,67,420
May21,68,469
May22,69,469
May23,70,487
May24,71,487
May25,72,487
May26,73,487
May27,74,571
May28,75,571
May29,76,571
May30,77,571
May31,78,611
Jun01,79,611
Jun02,80,611
Jun03,81,611
Jun04,82,611
Jun05,83,635
Jun06,84,683
Jun07,85,683
Jun08,86,683
Jun09,87,728
Jun10,88,728
Jun11,89,728
Jun12,90,728
Jun13,91,728
Jun14,92,728
Jun15,93,883
Jun16,94,883
Jun17,95,883
Jun18,96,883
Jun19,97,883
Jun20,98,883
Jun21,99,883
Jun22,100,1087
Jun23,101,1087
Jun24,102,1087
Jun25,103,1087
Jun26,104,1087
Jun27,105,1087
Jun28,106,1087
Jun29,107,1087
Jun30,108,1087
Jul01,109,1382
Jul02,110,1382
Jul03,111,1557
Jul04,112,1557
