day,dayNo,case
Apr01,1,2
Apr02,2,2
Apr03,3,2
Apr04,4,2
Apr05,5,5
Apr06,6,5
Apr07,7,5
Apr08,8,5
Apr09,9,5
Apr10,10,5
Apr11,11,5
Apr12,12,5
Apr13,13,5
Apr14,14,5
Apr15,15,5
Apr16,16,5
Apr17,17,6
Apr18,18,6
Apr19,19,6
Apr20,20,6
Apr21,21,6
Apr22,22,6
Apr23,23,6
Apr24,24,6
Apr25,25,8
Apr26,26,8
Apr27,27,8
Apr28,28,8
Apr29,29,8
Apr30,30,9
May01,31,9
May02,32,9
May03,33,9
May04,34,10
May05,35,10
May06,36,10
May07,37,10
May08,38,10
May09,39,10
May10,40,10
May11,41,11
May12,42,11
May13,43,11
May14,44,15
May15,45,15
May16,46,15
May17,47,15
May18,48,15
May19,49,15
May20,50,15
May21,51,16
May22,52,16
May23,53,16
May24,54,16
May25,55,16
May26,56,16
May27,57,19
May28,58,19
May29,59,19
May30,60,19
May31,61,20
Jun01,62,20
Jun02,63,20
Jun03,64,20
Jun04,65,20
Jun05,66,20
Jun06,67,22
Jun07,68,22
Jun08,69,22
Jun09,70,24
Jun10,71,24
Jun11,72,24
Jun12,73,24
Jun13,74,24
Jun14,75,24
Jun15,76,27
Jun16,77,27
Jun17,78,27
Jun18,79,27
Jun19,80,27
Jun20,81,27
Jun21,82,27
Jun22,83,37
Jun23,84,37
Jun24,85,37
Jun25,86,37
Jun26,87,37
Jun27,88,37
Jun28,89,37
Jun29,90,37
Jun30,91,37
Jul01,92,41
Jul02,93,41
Jul03,94,44
Jul04,95,44
