day,dayNo,case
Mar05,1,1
Mar06,2,1
Mar07,3,1
Mar08,4,9
Mar09,5,9
Mar10,6,13
Mar11,7,22
Mar12,8,23
Mar13,9,23
Mar14,10,27
Mar15,11,35
Mar16,12,41
Mar17,13,50
Mar18,14,69
Mar19,15,87
Mar20,16,113
Mar21,17,117
Mar22,18,134
Mar23,19,158
Mar24,20,177
Mar25,21,201
Mar26,22,231
Mar27,23,263
Mar28,24,295
Mar29,25,314
Mar30,26,330
Mar31,27,347
Apr01,28,375
Apr02,29,396
Apr03,30,416
Apr04,31,435
Apr05,32,454
Apr06,33,467
Apr07,34,483
Apr08,35,502
Apr09,36,539
Apr10,37,558
Apr11,38,577
Apr12,39,595
Apr13,40,612
Apr14,41,618
Apr15,42,626
Apr16,43,642
Apr17,44,649
Apr18,45,655
Apr19,46,660
Apr20,47,662
Apr21,48,669
Apr22,49,681
Apr23,50,686
Apr24,51,687
Apr25,52,693
Apr26,53,695
Apr27,54,697
Apr28,55,705
Apr29,56,713
Apr30,57,719
May01,58,725
May02,59,733
May03,60,739
May04,61,742
May05,62,755
May06,63,761
May07,64,765
May08,65,773
May09,66,780
May10,67,792
May11,68,801
May12,69,804
May13,70,815
May14,71,830
May15,72,843
May16,73,853
May17,74,863
May18,75,866
May19,76,882
May20,77,897
May21,78,903
May22,79,911
May23,80,918
May24,81,930
May25,82,951
May26,83,956
May27,84,984
May28,85,1000
May29,86,1022
May30,87,1047
May31,88,1056
Jun01,89,1084
Jun02,90,1105
Jun03,91,1157
Jun04,92,1194
Jun05,93,1228
Jun06,94,1263
Jun07,95,1318
Jun08,96,1342
Jun09,97,1375
Jun10,98,1461
Jun11,99,1538
Jun12,100,1612
Jun13,101,1662
Jun14,102,1715
Jun15,103,1744
Jun16,104,1796
Jun17,105,1871
Jun18,106,1939
Jun19,107,2058
Jun20,108,2127
Jun21,109,2213
Jun22,110,2277
Jun23,111,2368
Jun24,112,2515
Jun25,113,2684
Jun26,114,2836
Jun27,115,2979
Jun28,116,3130
Jun29,117,3269
Jun30,118,3459
Jul01,119,3753
Jul02,120,4023
Jul03,121,4311
Jul04,122,4621
