day,dayNo,case
Mar18,1,1
Mar19,2,1
Mar20,3,2
Mar21,4,2
Mar22,5,2
Mar23,6,2
Mar24,7,2
Mar25,8,2
Mar26,9,2
Mar27,10,2
Mar28,11,2
Mar29,12,2
Mar30,13,2
Mar31,14,2
Apr01,15,2
Apr02,16,2
Apr03,17,2
Apr04,18,2
Apr05,19,2
Apr06,20,2
Apr07,21,2
Apr08,22,3
Apr09,23,3
Apr10,24,3
Apr11,25,3
Apr12,26,3
Apr13,27,3
Apr14,28,3
Apr15,29,4
Apr16,30,4
Apr17,31,4
Apr18,32,4
Apr19,33,5
Apr20,34,6
Apr21,35,6
Apr22,36,6
Apr23,37,6
Apr24,38,6
Apr25,39,6
Apr26,40,6
Apr27,41,6
Apr28,42,6
Apr29,43,6
Apr30,44,6
May01,45,6
May02,46,6
May03,47,6
May04,48,6
May05,49,6
May06,50,6
May07,51,6
May08,52,6
May09,53,6
May10,54,6
May11,55,7
May12,56,7
May13,57,7
May14,58,8
May15,59,9
May16,60,10
May17,61,10
May18,62,10
May19,63,10
May20,64,10
May21,65,10
May22,66,10
May23,67,10
May24,68,10
May25,69,10
May26,70,10
May27,71,10
May28,72,10
May29,73,10
May30,74,10
May31,75,10
Jun01,76,10
Jun02,77,10
Jun03,78,10
Jun04,79,10
Jun05,80,10
Jun06,81,10
Jun07,82,10
Jun08,83,10
Jun09,84,11
Jun10,85,12
Jun11,86,12
Jun12,87,12
Jun13,88,12
Jun14,89,12
Jun15,90,12
Jun16,91,12
Jun17,92,12
Jun18,93,12
Jun19,94,12
Jun20,95,12
Jun21,96,12
Jun22,97,12
Jun23,98,12
Jun24,99,12
Jun25,100,12
Jun26,101,12
Jun27,102,13
Jun28,103,15
Jun29,104,15
Jun30,105,16
Jul01,106,17
Jul02,107,18
Jul03,108,18
Jul04,109,18
