day,dayNo,case
Feb25,1,1
Feb26,2,3
Feb27,3,3
Feb28,4,5
Feb29,5,6
Mar01,6,7
Mar02,7,8
Mar03,8,9
Mar04,9,10
Mar05,10,10
Mar06,11,11
Mar07,12,12
Mar08,13,12
Mar09,14,13
Mar10,15,15
Mar11,16,19
Mar12,17,27
Mar13,18,32
Mar14,19,39
Mar15,20,49
Mar16,21,57
Mar17,22,69
Mar18,23,89
Mar19,24,110
Mar20,25,130
Mar21,26,206
Mar22,27,254
Mar23,28,315
Mar24,29,382
Mar25,30,442
Mar26,31,495
Mar27,32,586
Mar28,33,657
Mar29,34,713
Mar30,35,790
Mar31,36,867
Apr01,37,963
Apr02,38,1011
Apr03,39,1079
Apr04,40,1126
Apr05,41,1182
Apr06,42,1222
Apr07,43,1282
Apr08,44,1343
Apr09,45,1407
Apr10,46,1495
Apr11,47,1534
Apr12,48,1600
Apr13,49,1650
Apr14,50,1704
Apr15,51,1741
Apr16,52,1791
Apr17,53,1814
Apr18,54,1832
Apr19,55,1871
Apr20,56,1881
Apr21,57,1908
Apr22,58,1950
Apr23,59,1981
Apr24,60,2009
Apr25,61,2016
Apr26,62,2030
Apr27,63,2039
Apr28,64,2047
Apr29,65,2062
Apr30,66,2076
May01,67,2085
May02,68,2088
May03,69,2096
May04,70,2101
May05,71,2112
May06,72,2119
May07,73,2125
May08,74,2161
May09,75,2176
May10,76,2187
May11,77,2196
May12,78,2207
May13,79,2213
May14,80,2221
May15,81,2222
May16,82,2224
May17,83,2226
May18,84,2228
May19,85,2232
May20,86,2234
May21,87,2237
May22,88,2243
May23,89,2243
May24,90,2244
May25,91,2244
May26,92,2244
May27,93,2244
May28,94,2245
May29,95,2245
May30,96,2246
May31,97,2246
Jun01,98,2246
Jun02,99,2246
Jun03,100,2246
Jun04,101,2247
Jun05,102,2247
Jun06,103,2247
Jun07,104,2247
Jun08,105,2247
Jun09,106,2247
Jun10,107,2249
Jun11,108,2249
Jun12,109,2249
Jun13,110,2251
Jun14,111,2252
Jun15,112,2254
Jun16,113,2255
Jun17,114,2258
Jun18,115,2269
Jun19,116,2280
Jun20,117,2299
Jun21,118,2317
Jun22,119,2336
Jun23,120,2366
Jun24,121,2388
Jun25,122,2483
Jun26,123,2539
Jun27,124,2624
Jun28,125,2691
Jun29,126,2725
Jun30,127,2777
Jul01,128,2831
Jul02,129,2912
Jul03,130,3008
Jul04,131,3094
