day,dayNo,case
Mar19,1,1
Mar20,2,1
Mar21,3,1
Mar22,4,1
Mar23,5,1
Mar24,6,1
Mar25,7,1
Mar26,8,3
Mar27,9,3
Mar28,10,5
Mar29,11,6
Mar30,12,6
Mar31,13,6
Apr01,14,6
Apr02,15,7
Apr03,16,8
Apr04,17,12
Apr05,18,15
Apr06,19,16
Apr07,20,18
Apr08,21,19
Apr09,22,20
Apr10,23,21
Apr11,24,21
Apr12,25,23
Apr13,26,25
Apr14,27,31
Apr15,28,33
Apr16,29,35
Apr17,30,36
Apr18,31,39
Apr19,32,47
Apr20,33,47
Apr21,34,48
Apr22,35,48
Apr23,36,50
Apr24,37,51
Apr25,38,54
Apr26,39,55
Apr27,40,59
Apr28,41,63
Apr29,42,67
Apr30,43,69
May01,44,75
May02,45,77
May03,46,79
May04,47,80
May05,48,83
May06,49,85
May07,50,86
May08,51,86
May09,52,87
May10,53,90
May11,54,91
May12,55,91
May13,56,94
May14,57,94
May15,58,95
May16,59,95
May17,60,95
May18,61,95
May19,62,96
May20,63,96
May21,64,97
May22,65,99
May23,66,99
May24,67,99
May25,68,100
May26,69,101
May27,70,101
May28,71,102
May29,72,103
May30,73,103
May31,74,103
Jun01,75,103
Jun02,76,103
Jun03,77,103
Jun04,78,103
Jun05,79,103
Jun06,80,104
Jun07,81,104
Jun08,82,104
Jun09,83,106
Jun10,84,106
Jun11,85,106
Jun12,86,107
Jun13,87,107
Jun14,88,107
Jun15,89,107
Jun16,90,107
Jun17,91,107
Jun18,92,107
Jun19,93,107
Jun20,94,107
Jun21,95,107
Jun22,96,107
Jun23,97,107
Jun24,98,107
Jun25,99,107
Jun26,100,107
Jun27,101,107
Jun28,102,107
Jun29,103,107
Jun30,104,107
Jul01,105,108
Jul02,106,110
Jul03,107,112
Jul04,108,113
