day,dayNo,case
Mar11,1,3
Mar12,2,3
Mar13,3,4
Mar14,4,4
Mar15,5,4
Mar16,6,4
Mar17,7,7
Mar18,8,10
Mar19,9,11
Mar20,10,21
Mar21,11,21
Mar22,12,35
Mar23,13,40
Mar24,14,48
Mar25,15,57
Mar26,16,67
Mar27,17,80
Mar28,18,119
Mar29,19,139
Mar30,20,170
Mar31,21,186
Apr01,22,212
Apr02,23,233
Apr03,24,269
Apr04,25,288
Apr05,26,320
Apr06,27,350
Apr07,28,396
Apr08,29,457
Apr09,30,515
Apr10,31,564
Apr11,32,620
Apr12,33,669
Apr13,34,726
Apr14,35,766
Apr15,36,814
Apr16,37,862
Apr17,38,923
Apr18,39,986
Apr19,40,1035
Apr20,41,1087
Apr21,42,1137
Apr22,43,1189
Apr23,44,1235
Apr24,45,1285
Apr25,46,1337
Apr26,47,1369
Apr27,48,1389
Apr28,49,1437
Apr29,50,1467
Apr30,51,1501
May01,52,1537
May02,53,1611
May03,54,1649
May04,55,1668
May05,56,1685
May06,57,1703
May07,58,1729
May08,59,1741
May09,60,1754
May10,61,1766
May11,62,1783
May12,63,1804
May13,64,1810
May14,65,1830
May15,66,1840
May16,67,1862
May17,68,1872
May18,69,1881
May19,70,1887
May20,71,1900
May21,72,1908
May22,73,1916
May23,74,1931
May24,75,1941
May25,76,1947
May26,77,1963
May27,78,1974
May28,79,1983
May29,80,2005
May30,81,2025
May31,82,2045
Jun01,83,2083
Jun02,84,2092
Jun03,85,2107
Jun04,86,2119
Jun05,87,2133
Jun06,88,2173
Jun07,89,2191
Jun08,90,2200
Jun09,91,2205
Jun10,92,2211
Jun11,93,2219
Jun12,94,2233
Jun13,95,2238
Jun14,96,2248
Jun15,97,2262
Jun16,98,2273
Jun17,99,2280
Jun18,100,2295
Jun19,101,2305
Jun20,102,2309
Jun21,103,2312
Jun22,104,2315
Jun23,105,2318
Jun24,106,2319
Jun25,107,2321
Jun26,108,2325
Jun27,109,2330
Jun28,110,2332
Jun29,111,2340
Jun30,112,2341
Jul01,113,2348
Jul02,114,2353
Jul03,115,2361
Jul04,116,2369
