day,dayNo,case
Mar18,1,1
Mar19,2,1
Mar20,3,1
Mar21,4,1
Mar22,5,1
Mar23,6,1
Mar24,7,1
Mar25,8,1
Mar26,9,2
Mar27,10,2
Mar28,11,3
Mar29,12,3
Mar30,13,4
Mar31,14,6
Apr01,15,6
Apr02,16,6
Apr03,17,6
Apr04,18,6
Apr05,19,8
Apr06,20,9
Apr07,21,11
Apr08,22,12
Apr09,23,15
Apr10,24,15
Apr11,25,16
Apr12,26,18
Apr13,27,21
Apr14,28,21
Apr15,29,24
Apr16,30,27
Apr17,31,31
Apr18,32,32
Apr19,33,34
Apr20,34,36
Apr21,35,38
Apr22,36,40
Apr23,37,43
Apr24,38,49
Apr25,39,51
Apr26,40,54
Apr27,41,56
Apr28,42,58
Apr29,43,58
Apr30,44,61
May01,45,64
May02,46,66
May03,47,67
May04,48,69
May05,49,69
May06,50,69
May07,51,73
May08,52,74
May09,53,74
May10,54,77
May11,55,77
May12,56,78
May13,57,79
May14,58,79
May15,59,79
May16,60,79
May17,61,79
May18,62,79
May19,63,79
May20,64,79
May21,65,80
May22,66,81
May23,67,81
May24,68,82
May25,69,82
May26,70,82
May27,71,82
May28,72,82
May29,73,82
May30,74,83
May31,75,83
Jun01,76,83
Jun02,77,83
Jun03,78,83
Jun04,79,83
Jun05,80,83
Jun06,81,83
Jun07,82,83
Jun08,83,83
Jun09,84,83
Jun10,85,83
Jun11,86,84
Jun12,87,84
Jun13,88,84
Jun14,89,84
Jun15,90,84
Jun16,91,84
Jun17,92,84
Jun18,93,85
Jun19,94,85
Jun20,95,85
Jun21,96,85
Jun22,97,85
Jun23,98,85
Jun24,99,85
Jun25,100,85
Jun26,101,85
Jun27,102,86
Jun28,103,86
Jun29,104,86
Jun30,105,86
Jul01,106,86
Jul02,107,86
Jul03,108,86
Jul04,109,86
