day,dayNo,case
Mar09,1,2
Mar10,2,2
Mar11,3,6
Mar12,4,10
Mar13,5,14
Mar14,6,26
Mar15,7,33
Mar16,8,46
Mar17,9,49
Mar18,10,58
Mar19,11,67
Mar20,12,75
Mar21,13,84
Mar22,14,95
Mar23,15,116
Mar24,16,124
Mar25,17,132
Mar26,18,146
Mar27,19,162
Mar28,20,179
Mar29,21,214
Mar30,22,230
Mar31,23,262
Apr01,24,320
Apr02,25,356
Apr03,26,396
Apr04,27,426
Apr05,28,446
Apr06,29,465
Apr07,30,494
Apr08,31,526
Apr09,32,564
Apr10,33,595
Apr11,34,616
Apr12,35,633
Apr13,36,662
Apr14,37,695
Apr15,38,715
Apr16,39,735
Apr17,40,750
Apr18,41,761
Apr19,42,767
Apr20,43,772
Apr21,44,784
Apr22,45,790
Apr23,46,795
Apr24,47,804
Apr25,48,810
Apr26,49,817
Apr27,50,822
Apr28,51,837
Apr29,52,843
Apr30,53,850
May01,54,857
