day,dayNo,case
Mar01,1,3
Mar02,2,4
Mar03,3,5
Mar04,4,8
Mar05,5,12
Mar06,6,19
Mar07,7,26
Mar08,8,32
Mar09,9,38
Mar10,10,63
Mar11,11,94
Mar12,12,116
Mar13,13,141
Mar14,14,189
Mar15,15,293
Mar16,16,344
Mar17,17,434
Mar18,18,522
Mar19,19,694
Mar20,20,833
Mar21,21,995
Mar22,22,1120
Mar23,23,1236
Mar24,24,1394
Mar25,25,1654
Mar26,26,1925
Mar27,27,2279
Mar28,28,2631
Mar29,29,2817
Mar30,30,3001
Mar31,31,3308
Apr01,32,3589
Apr02,33,3858
Apr03,34,4190
Apr04,35,4472
Apr05,36,4587
Apr06,37,4822
Apr07,38,5017
Apr08,39,5312
Apr09,40,5569
Apr10,41,5732
Apr11,42,5902
Apr12,43,5991
Apr13,44,6059
Apr14,45,6111
Apr15,46,6301
Apr16,47,6433
Apr17,48,6549
Apr18,49,6606
Apr19,50,6746
Apr20,51,6900
Apr21,52,7033
Apr22,53,7132
Apr23,54,7187
Apr24,55,7273
Apr25,56,7352
Apr26,57,7404
Apr27,58,7445
Apr28,59,7504
Apr29,60,7579
Apr30,61,7682
May01,62,7737
