day,dayNo,case
Mar22,1,1
Mar23,2,1
Mar24,3,3
Mar25,4,6
Mar26,5,9
Mar27,6,9
Mar28,7,11
Mar29,8,16
Mar30,9,23
Mar31,10,31
Apr01,11,39
Apr02,12,44
Apr03,13,53
Apr04,14,59
Apr05,15,67
Apr06,16,78
Apr07,17,88
Apr08,18,99
Apr09,19,112
Apr10,20,119
Apr11,21,129
Apr12,22,138
Apr13,23,143
Apr14,24,161
Apr15,25,166
Apr16,26,169
Apr17,27,173
Apr18,28,181
Apr19,29,186
Apr20,30,194
Apr21,31,201
Apr22,32,208
Apr23,33,210
Apr24,34,214
Apr25,35,218
Apr26,36,220
Apr27,37,223
Apr28,38,227
Apr29,39,227
Apr30,40,236
May01,41,240
May02,42,245
May03,43,248
May04,44,252
May05,45,257
May06,46,262
May07,47,270
May08,48,273
May09,49,276
May10,50,280
May11,51,282
May12,52,283
May13,53,290
May14,54,293
May15,55,295
May16,56,296
May17,57,298
May18,58,297
May19,59,302
May20,60,304
May21,61,306
May22,62,312
May23,63,314
May24,64,315
May25,65,317
May26,66,317
May27,67,317
May28,68,319
May29,69,319
May30,70,319
May31,71,320
Jun01,72,321
Jun02,73,323
Jun03,74,324
Jun04,75,326
Jun05,76,327
Jun06,77,327
Jun07,78,327
Jun08,79,328
Jun09,80,328
Jun10,81,328
Jun11,82,328
Jun12,83,329
Jun13,84,328
Jun14,85,329
Jun15,86,330
Jun16,87,331
Jun17,88,333
Jun18,89,334
Jun19,90,335
Jun20,91,336
Jun21,92,336
Jun22,93,336
Jun23,94,339
Jun24,95,343
Jun25,96,345
Jun26,97,347
Jun27,98,347
Jun28,99,348
Jun29,100,348
Jun30,101,349
Jul01,102,349
Jul02,103,353
Jul03,104,353
Jul04,105,351
