day,dayNo,case
Mar10,1,1
Mar11,2,1
Mar12,3,1
Mar13,4,2
Mar14,5,2
Mar15,6,2
Mar16,7,3
Mar17,8,3
Mar18,9,7
Mar19,10,14
Mar20,11,18
Mar21,12,23
Mar22,13,30
Mar23,14,36
Mar24,15,45
Mar25,16,48
Mar26,17,51
Mar27,18,51
Mar28,19,65
Mar29,20,81
Mar30,21,81
Mar31,22,98
Apr01,23,109
Apr02,24,134
Apr03,25,148
Apr04,26,154
Apr05,27,154
Apr06,28,161
Apr07,29,180
Apr08,30,180
Apr09,31,180
Apr10,32,223
Apr11,33,223
Apr12,34,234
Apr13,35,235
Apr14,36,241
Apr15,37,254
Apr16,38,267
Apr17,39,287
Apr18,40,307
Apr19,41,327
Apr20,42,332
Apr21,43,350
Apr22,44,359
Apr23,45,377
Apr24,46,394
Apr25,47,416
Apr26,48,442
Apr27,49,459
Apr28,50,471
Apr29,51,491
Apr30,52,572
May01,53,604
May02,54,674
May03,55,674
May04,56,682
May05,57,705
May06,58,797
May07,59,863
May08,60,863
May09,61,937
May10,62,991
May11,63,1024
May12,64,1102
May13,65,1169
May14,66,1242
May15,67,1298
May16,68,1455
May17,69,1455
May18,70,1538
May19,71,1629
May20,72,1731
May21,73,1835
May22,74,1945
May23,75,2025
May24,76,2141
May25,77,2297
May26,78,2403
May27,79,2546
May28,80,2660
May29,81,2833
May30,82,2966
May31,83,3070
Jun01,84,3195
Jun02,85,3326
Jun03,86,3495
Jun04,87,3644
Jun05,88,3764
Jun06,89,3878
Jun07,90,4016
Jun08,91,4106
Jun09,92,4259
Jun10,93,4390
Jun11,94,4515
Jun12,95,4637
Jun13,96,4724
Jun14,97,4778
Jun15,98,4837
Jun16,99,4974
Jun17,100,5100
Jun18,101,5283
Jun19,102,5477
Jun20,103,5672
Jun21,104,5826
Jun22,105,5924
Jun23,106,6027
Jun24,107,6213
Jun25,108,6411
Jun26,109,6552
Jun27,110,6690
Jun28,111,6827
Jun29,112,6939
Jun30,113,7039
Jul01,114,7122
Jul02,115,7189
Jul03,116,7311
Jul04,117,7379
