day,dayNo,case
Mar21,1,1
Mar22,2,1
Mar23,3,2
Mar24,4,2
Mar25,5,2
Mar26,6,3
Mar27,7,3
Mar28,8,6
Mar29,9,8
Mar30,10,8
Mar31,11,8
Apr01,12,9
Apr02,13,13
Apr03,14,16
Apr04,15,18
Apr05,16,18
Apr06,17,18
Apr07,18,18
Apr08,19,18
Apr09,20,18
Apr10,21,20
Apr11,22,20
Apr12,23,20
Apr13,24,20
Apr14,25,20
Apr15,26,21
Apr16,27,22
Apr17,28,23
Apr18,29,25
Apr19,30,25
Apr20,31,25
Apr21,32,25
Apr22,33,25
Apr23,34,25
Apr24,35,25
Apr25,36,28
Apr26,37,28
Apr27,38,28
Apr28,39,30
Apr29,40,30
Apr30,41,31
May01,42,32
May02,43,33
May03,44,33
May04,45,34
May05,46,34
May06,47,35
May07,48,36
May08,49,36
May09,50,39
May10,51,41
May11,52,41
May12,53,44
May13,54,50
May14,55,50
May15,56,50
May16,57,61
May17,58,61
May18,59,61
May19,60,61
May20,61,61
May21,62,61
May22,63,63
May23,64,63
May24,65,63
May25,66,67
May26,67,68
May27,68,68
May28,69,69
May29,70,69
May30,71,69
May31,72,72
Jun01,73,72
Jun02,74,72
Jun03,75,75
Jun04,76,78
Jun05,77,81
Jun06,78,82
Jun07,79,85
Jun08,80,88
Jun09,81,90
Jun10,82,96
Jun11,83,98
Jun12,84,101
Jun13,85,106
Jun14,86,107
Jun15,87,112
Jun16,88,112
Jun17,89,115
Jun18,90,117
Jun19,91,122
Jun20,92,125
Jun21,93,130
Jun22,94,135
Jun23,95,135
Jun24,96,142
Jun25,97,142
Jun26,98,149
Jun27,99,153
Jun28,100,157
Jun29,101,167
Jun30,102,170
Jul01,103,175
Jul02,104,176
Jul03,105,179
Jul04,106,182
