day,dayNo,case
Feb27,1,1
Feb28,2,2
Feb29,3,3
Mar01,4,4
Mar02,5,4
Mar03,6,10
Mar04,7,14
Mar05,8,19
Mar06,9,21
Mar07,10,27
Mar08,11,35
Mar09,12,90
Mar10,13,262
Mar11,14,514
Mar12,15,674
Mar13,16,804
Mar14,17,836
Mar15,18,864
Mar16,19,914
Mar17,20,977
Mar18,21,1057
Mar19,22,1151
Mar20,23,1255
Mar21,24,1326
Mar22,25,1395
Mar23,26,1460
Mar24,27,1591
Mar25,28,1724
Mar26,29,1877
Mar27,30,2046
Mar28,31,2201
Mar29,32,2395
Mar30,33,2577
Mar31,34,2860
Apr01,35,3107
Apr02,36,3386
Apr03,37,3757
Apr04,38,4077
Apr05,39,4369
Apr06,40,4681
Apr07,41,5071
Apr08,42,5402
Apr09,43,5635
Apr10,44,5819
Apr11,45,5996
Apr12,46,6174
Apr13,47,6318
Apr14,48,6511
Apr15,49,6681
Apr16,50,6879
Apr17,51,7073
Apr18,52,7242
Apr19,53,7384
Apr20,54,7515
Apr21,55,7695
Apr22,56,7912
Apr23,57,8073
Apr24,58,8210
Apr25,59,8445
Apr26,60,8575
Apr27,61,8698
Apr28,62,8851
Apr29,63,9008
Apr30,64,9158
May01,65,9311
