day,dayNo,case
Mar14,1,1
Mar15,2,2
Mar16,3,4
Mar17,4,4
Mar18,5,4
Mar19,6,6
Mar20,7,9
Mar21,8,13
Mar22,9,13
Mar23,10,24
Mar24,11,32
Mar25,12,34
Mar26,13,41
Mar27,14,52
Mar28,15,65
Mar29,16,72
Mar30,17,77
Mar31,18,90
Apr01,19,104
Apr02,20,123
Apr03,21,139
Apr04,22,161
Apr05,23,179
Apr06,24,187
Apr07,25,203
Apr08,26,218
Apr09,27,237
Apr10,28,247
Apr11,29,260
Apr12,30,273
Apr13,31,285
Apr14,32,299
Apr15,33,309
Apr16,34,321
Apr17,35,336
Apr18,36,346
Apr19,37,355
Apr20,38,364
Apr21,39,370
Apr22,40,384
Apr23,41,394
Apr24,42,403
Apr25,43,418
Apr26,44,422
Apr27,45,427
Apr28,46,434
Apr29,47,443
Apr30,48,452
May01,49,460
May02,50,475
May03,51,484
May04,52,493
May05,53,503
May06,54,506
May07,55,514
May08,56,522
May09,57,526
May10,58,527
May11,59,527
May12,60,527
May13,61,533
May14,62,537
May15,63,537
May16,64,543
May17,65,547
May18,66,548
May19,67,551
May20,68,554
May21,69,561
May22,70,561
May23,71,561
May24,72,562
May25,73,563
May26,74,563
May27,75,565
May28,76,568
May29,77,568
May30,78,571
May31,79,574
Jun01,80,576
Jun02,81,580
Jun03,82,580
Jun04,83,582
Jun05,84,586
Jun06,85,587
Jun07,86,589
Jun08,87,593
Jun09,88,593
Jun10,89,593
Jun11,90,593
Jun12,91,594
Jun13,92,597
Jun14,93,597
Jun15,94,598
Jun16,95,598
Jun17,96,598
Jun18,97,600
Jun19,98,600
Jun20,99,600
Jun21,100,600
Jun22,101,602
Jun23,102,603
Jun24,103,603
Jun25,104,603
Jun26,105,604
Jun27,106,604
Jun28,107,604
Jun29,108,605
Jun30,109,605
Jul01,110,606
Jul02,111,606
Jul03,112,606
Jul04,113,606
