day,dayNo,case
Mar18,1,1
Mar19,2,1
Mar20,3,1
Mar21,4,1
Mar22,5,1
Mar23,6,3
Mar24,7,3
Mar25,8,11
Mar26,9,11
Mar27,10,12
Mar28,11,14
Mar29,12,18
Mar30,13,18
Mar31,14,30
Apr01,15,33
Apr02,16,40
Apr03,17,49
Apr04,18,50
Apr05,19,59
Apr06,20,90
Apr07,21,90
Apr08,22,135
Apr09,23,140
Apr10,24,150
Apr11,25,187
Apr12,26,214
Apr13,27,298
Apr14,28,363
Apr15,29,435
Apr16,30,591
Apr17,31,732
Apr18,32,732
Apr19,33,846
Apr20,34,846
Apr21,35,945
Apr22,36,974
Apr23,37,986
Apr24,38,999
Apr25,39,1008
Apr26,40,1023
Apr27,41,1035
Apr28,42,1072
Apr29,43,1077
Apr30,44,1089
May01,45,1097
May02,46,1112
May03,47,1112
May04,48,1116
May05,49,1120
May06,50,1124
May07,51,1133
May08,52,1135
May09,53,1189
May10,54,1210
May11,55,1227
May12,56,1256
May13,57,1268
May14,58,1284
May15,59,1309
May16,60,1331
May17,61,1401
May18,62,1518
May19,63,1618
May20,64,1828
May21,65,2047
May22,66,2270
May23,67,2270
May24,68,2270
May25,69,2468
May26,70,2468
May27,71,2697
May28,72,2914
May29,73,2914
May30,74,3194
May31,75,3354
Jun01,76,3569
Jun02,77,3779
Jun03,78,3935
Jun04,79,4054
Jun05,80,4123
Jun06,81,4169
Jun07,82,4207
Jun08,83,4278
Jun09,84,4331
Jun10,85,4373
Jun11,86,4398
Jun12,87,4441
Jun13,88,4449
Jun14,89,4465
Jun15,90,4501
Jun16,91,4539
Jun17,92,4545
Jun18,93,4557
Jun19,94,4565
Jun20,95,4565
Jun21,96,4582
Jun22,97,4599
Jun23,98,4617
Jun24,99,4630
Jun25,100,4635
Jun26,101,4643
Jun27,102,4643
Jun28,103,4643
Jun29,104,4656
Jun30,105,4682
Jul01,106,4704
Jul02,107,4715
Jul03,108,4736
Jul04,109,4736
